tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2012-580,Australian Open,Hard,128,G,20120116,93,104545,16.0,,John Isner,R,206.0,USA,26.7241615332,17.0,1800.0,103900,,,David Nalbandian,R,180.0,ARG,30.0396988364,87.0,630.0,4-6 6-3 2-6 7-6(5) 10-8,5,R64,281.0,43.0,2.0,191.0,120.0,86.0,37.0,29.0,10.0,15.0,7.0,5.0,177.0,113.0,82.0,37.0,28.0,6.0,10.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,103900,104545,False,True
2012-580,Australian Open,Hard,128,G,20120116,94,103852,18.0,,Feliciano Lopez,L,188.0,ESP,30.3216974675,19.0,1755.0,104262,,,Flavio Cipolla,R,173.0,ITA,28.2409308693,76.0,671.0,7-5 7-6(4) 6-2,5,R64,145.0,6.0,5.0,103.0,57.0,43.0,22.0,16.0,4.0,7.0,0.0,2.0,100.0,84.0,45.0,9.0,16.0,6.0,12.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,103852,104262,True,False
2012-580,Australian Open,Hard,128,G,20120116,95,105041,,Q,Lukas Lacko,R,185.0,SVK,24.2026009582,119.0,491.0,105385,,,Donald Young,L,183.0,USA,22.4832306639,42.0,1004.0,6-3 6-1 3-6 6-3,5,R64,143.0,8.0,1.0,107.0,68.0,49.0,25.0,17.0,4.0,5.0,2.0,2.0,103.0,60.0,41.0,20.0,17.0,7.0,12.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,105041,105385,True,False
2012-580,Australian Open,Hard,128,G,20120116,96,104745,2.0,,Rafael Nadal,L,185.0,ESP,25.620807666,2.0,9595.0,103163,,,Tommy Haas,R,188.0,GER,33.787816564,190.0,257.0,6-4 6-3 6-4,5,R64,149.0,2.0,2.0,80.0,51.0,38.0,16.0,14.0,2.0,4.0,8.0,4.0,94.0,59.0,36.0,16.0,15.0,4.0,10.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,103163,104745,False,True
2012-580,Australian Open,Hard,128,G,20120116,97,104925,1.0,,Novak Djokovic,R,188.0,SRB,24.6543463381,1.0,13630.0,103917,,,Nicolas Mahut,R,190.0,FRA,29.9849418207,81.0,653.0,6-0 6-1 6-1,5,R32,74.0,7.0,1.0,52.0,32.0,27.0,14.0,10.0,1.0,1.0,0.0,5.0,66.0,43.0,21.0,5.0,10.0,6.0,14.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103917,104925,False,True
2012-580,Australian Open,Hard,128,G,20120116,98,103720,,WC,Lleyton Hewitt,R,180.0,AUS,30.8911704312,181.0,265.0,105683,23.0,,Milos Raonic,R,196.0,CAN,21.054072553,25.0,1460.0,4-6 6-3 7-6(5) 6-3,5,R32,186.0,7.0,7.0,136.0,77.0,57.0,32.0,21.0,6.0,8.0,23.0,6.0,115.0,61.0,47.0,28.0,19.0,2.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103720,105683,True,False
2012-580,Australian Open,Hard,128,G,20120116,99,104755,17.0,,Richard Gasquet,R,185.0,FRA,25.5797399042,18.0,1765.0,104386,9.0,,Janko Tipsarevic,R,180.0,SRB,27.5674195756,9.0,2655.0,6-3 6-3 6-1,5,R32,97.0,7.0,1.0,68.0,41.0,29.0,20.0,13.0,0.0,1.0,5.0,1.0,75.0,37.0,19.0,18.0,12.0,6.0,12.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104386,104755,False,True
2012-580,Australian Open,Hard,128,G,20120116,100,103970,5.0,,David Ferrer,R,175.0,ESP,29.7905544148,5.0,4925.0,103428,27.0,,Juan Ignacio Chela,R,190.0,ARG,32.3805612594,29.0,1270.0,7-5 6-2 6-1,5,R32,128.0,1.0,4.0,84.0,46.0,30.0,21.0,14.0,3.0,6.0,1.0,1.0,86.0,55.0,29.0,8.0,13.0,5.0,13.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103428,103970,False,True
2012-580,Australian Open,Hard,128,G,20120116,101,104918,4.0,,Andy Murray,R,190.0,GBR,24.6735112936,4.0,7380.0,103566,,,Michael Llodra,L,190.0,FRA,31.6632443532,46.0,915.0,6-4 6-2 6-0,5,R32,109.0,7.0,2.0,77.0,46.0,32.0,22.0,12.0,5.0,5.0,2.0,3.0,78.0,45.0,32.0,6.0,12.0,7.0,13.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,103566,104918,False,True
2012-580,Australian Open,Hard,128,G,20120116,102,105062,,,Mikhail Kukushkin,R,183.0,KAZ,24.0574948665,92.0,598.0,104792,14.0,,Gael Monfils,R,193.0,FRA,25.3744010951,15.0,1970.0,6-2 7-5 5-7 1-6 6-4,5,R32,220.0,5.0,2.0,148.0,98.0,62.0,24.0,24.0,7.0,15.0,9.0,11.0,159.0,106.0,68.0,19.0,25.0,17.0,25.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104792,105062,False,True
2012-580,Australian Open,Hard,128,G,20120116,103,105453,24.0,,Kei Nishikori,R,178.0,JPN,22.0479123888,26.0,1410.0,103898,,,Julien Benneteau,R,185.0,FRA,30.0725530459,39.0,1030.0,4-6 7-6(3) 7-6(4) 6-3,5,R32,205.0,5.0,4.0,121.0,85.0,58.0,18.0,21.0,1.0,7.0,8.0,3.0,156.0,104.0,62.0,22.0,22.0,6.0,13.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105453,103898,True,False
2012-580,Australian Open,Hard,128,G,20120116,104,104542,6.0,,Jo Wilfried Tsonga,R,188.0,FRA,26.7488021903,6.0,4335.0,104523,,,Frederico Gil,R,178.0,POR,26.8145106092,107.0,537.0,6-2 6-2 6-2,5,R32,91.0,7.0,1.0,70.0,40.0,33.0,19.0,12.0,6.0,6.0,0.0,1.0,68.0,48.0,23.0,12.0,12.0,1.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104523,104542,False,True
2012-580,Australian Open,Hard,128,G,20120116,105,104259,,,Philipp Kohlschreiber,R,178.0,GER,28.2518822724,41.0,1005.0,104268,,,Alejandro Falla,L,185.0,COL,28.1724845996,71.0,696.0,6-3 6-2 7-6(3),5,R32,138.0,4.0,0.0,93.0,49.0,38.0,29.0,14.0,2.0,3.0,1.0,1.0,98.0,66.0,43.0,12.0,15.0,3.0,8.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,104259,104268,True,False
2012-580,Australian Open,Hard,128,G,20120116,106,105223,11.0,,Juan Martin Del Potro,R,198.0,ARG,23.3127994524,11.0,2315.0,104229,,,Yen Hsun Lu,R,180.0,TPE,28.424366872,79.0,661.0,6-2 6-3 6-0,5,R32,112.0,8.0,1.0,60.0,34.0,29.0,15.0,11.0,0.0,0.0,6.0,3.0,67.0,39.0,22.0,10.0,12.0,3.0,10.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104229,105223,False,True
