tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,hand_r,hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F
2013-410,Monte Carlo Masters,Clay,56,M,20130414,54,104745,3.0,,Rafael Nadal,L,185.0,ESP,26.8665297741,5.0,6385.0,104542,6.0,,Jo Wilfried Tsonga,R,188.0,FRA,27.9945242984,8.0,3695.0,6-3 7-6(3),3,SF,97.0,3.0,0.0,64.0,51.0,36.0,8.0,10.0,5.0,7.0,4.0,1.0,75.0,47.0,30.0,12.0,11.0,6.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2013-410,Monte Carlo Masters,Clay,56,M,20130414,55,104925,1.0,,Novak Djokovic,R,188.0,SRB,25.9000684463,1.0,12500.0,104745,3.0,,Rafael Nadal,L,185.0,ESP,26.8665297741,5.0,6385.0,6-2 7-6(1),3,F,112.0,2.0,0.0,61.0,38.0,24.0,14.0,10.0,3.0,6.0,2.0,3.0,78.0,56.0,31.0,7.0,10.0,7.0,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2013-605,Tour Finals,Hard,8,F,20131104,1,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.4223134839,1.0,12030.0,104527,7.0,,Stanislas Wawrinka,R,183.0,SUI,28.605065024,8.0,3330.0,7-6(5) 7-6(6),3,RR,133.0,3.0,1.0,89.0,52.0,34.0,23.0,12.0,5.0,7.0,4.0,2.0,74.0,35.0,28.0,23.0,12.0,3.0,5.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,2,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.4223134839,1.0,12030.0,104607,5.0,,Tomas Berdych,R,196.0,CZE,28.1314168378,6.0,3980.0,6-4 1-6 6-3,3,RR,111.0,3.0,3.0,71.0,43.0,35.0,13.0,13.0,1.0,3.0,13.0,4.0,73.0,48.0,40.0,9.0,13.0,2.0,4.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,3,104745,1.0,,Rafael Nadal,L,185.0,ESP,27.4223134839,1.0,12030.0,103970,3.0,,David Ferrer,R,175.0,ESP,31.5920602327,3.0,5800.0,6-3 6-2,3,RR,75.0,3.0,3.0,48.0,26.0,21.0,9.0,8.0,1.0,3.0,1.0,3.0,58.0,36.0,14.0,11.0,9.0,1.0,7.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,4,104925,2.0,,Novak Djokovic,R,188.0,SRB,26.4558521561,2.0,10610.0,104755,8.0,,Richard Gasquet,R,185.0,FRA,27.3812457221,9.0,3300.0,7-6(5) 4-6 6-3,3,RR,129.0,6.0,3.0,101.0,64.0,46.0,21.0,16.0,1.0,3.0,10.0,3.0,92.0,54.0,41.0,21.0,15.0,3.0,5.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,5,104925,2.0,,Novak Djokovic,R,188.0,SRB,26.4558521561,2.0,10610.0,103819,6.0,,Roger Federer,R,185.0,SUI,32.2409308693,7.0,3805.0,6-4 6-7(2) 6-2,3,RR,142.0,9.0,2.0,101.0,57.0,40.0,23.0,15.0,3.0,5.0,5.0,5.0,103.0,56.0,37.0,23.0,15.0,6.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,6,104925,2.0,,Novak Djokovic,R,188.0,SRB,26.4558521561,2.0,10610.0,105223,4.0,,Juan Martin Del Potro,R,198.0,ARG,25.1143052704,5.0,5055.0,6-3 3-6 6-3,3,RR,114.0,10.0,1.0,73.0,50.0,39.0,16.0,14.0,4.0,5.0,8.0,0.0,80.0,53.0,38.0,13.0,13.0,4.0,6.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,7,104527,7.0,,Stanislas Wawrinka,R,183.0,SUI,28.605065024,8.0,3330.0,104607,5.0,,Tomas Berdych,R,196.0,CZE,28.1314168378,6.0,3980.0,6-3 6-7(0) 6-3,3,RR,146.0,11.0,1.0,99.0,54.0,41.0,30.0,16.0,5.0,5.0,16.0,8.0,102.0,54.0,44.0,22.0,14.0,2.0,4.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2013-605,Tour Finals,Hard,8,F,20131104,8,103819,6.0,,Roger Federer,R,185.0,SUI,32.2409308693,7.0,3805.0,105223,4.0,,Juan Martin Del Potro,R,198.0,ARG,25.1143052704,5.0,5055.0,4-6 7-6(2) 7-5,3,RR,147.0,10.0,1.0,98.0,64.0,51.0,17.0,17.0,4.0,8.0,7.0,2.0,101.0,60.0,39.0,23.0,17.0,4.0,8.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
