tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,hand_r,hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F
2006-520,Roland Garros,Clay,128,G,20060529,1,103819,1.0,,Roger Federer,R,185.0,SUI,24.8049281314,1.0,7010.0,103701,,Q,Diego Hartfield,R,185.0,ARG,25.3223819302,157.0,265.0,7-5 7-6(2) 6-2,5,R128,156.0,5.0,2.0,106.0,70.0,48.0,22.0,16.0,6.0,9.0,0.0,2.0,133.0,92.0,53.0,20.0,16.0,15.0,21.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,2,104268,,LL,Alejandro Falla,L,185.0,COL,22.5379876797,139.0,309.0,102925,,,Justin Gimelstob,R,196.0,USA,29.3360711841,92.0,445.0,6-4 6-4 6-2,5,R128,113.0,3.0,1.0,83.0,66.0,44.0,8.0,14.0,3.0,6.0,2.0,3.0,89.0,55.0,33.0,12.0,14.0,3.0,10.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,3,103018,,,Max Mirnyi,R,196.0,BLR,28.8952772074,49.0,785.0,104180,,,Gilles Muller,L,193.0,LUX,23.0554414784,66.0,605.0,6-3 6-1 7-6(3),5,R128,103.0,6.0,2.0,77.0,43.0,38.0,24.0,14.0,0.0,0.0,8.0,3.0,88.0,61.0,41.0,12.0,14.0,8.0,12.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,4,103454,32.0,,Nicolas Massu,R,183.0,CHI,26.6338124572,35.0,885.0,103598,,,Xavier Malisse,R,185.0,BEL,25.8590006845,37.0,856.0,6-1 7-5 1-6 4-6 9-7,5,R128,265.0,6.0,5.0,180.0,99.0,61.0,44.0,26.0,16.0,23.0,12.0,3.0,155.0,90.0,65.0,26.0,26.0,10.0,18.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,5,104607,20.0,,Tomas Berdych,R,196.0,CZE,20.6954140999,20.0,1390.0,103852,,,Feliciano Lopez,L,188.0,ESP,24.6872005476,48.0,790.0,6-2 6-4 6-3,5,R128,124.0,7.0,2.0,86.0,47.0,35.0,28.0,14.0,6.0,6.0,4.0,2.0,82.0,50.0,31.0,15.0,13.0,7.0,11.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,6,103835,,,Filippo Volandri,R,183.0,ITA,24.7282683094,55.0,716.0,103709,,Q,Kristian Pless,R,188.0,DEN,25.2977412731,143.0,299.0,6-4 7-6(0) 6-4,5,R128,127.0,0.0,2.0,104.0,81.0,50.0,13.0,16.0,9.0,14.0,2.0,4.0,108.0,68.0,39.0,16.0,16.0,9.0,16.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,7,102967,,WC,Marc Gicquel,R,188.0,FRA,29.1635865845,115.0,378.0,103035,,,Alessio Di Mauro,L,185.0,ITA,28.8021902806,81.0,509.0,7-5 7-6(6) 6-3,5,R128,156.0,3.0,0.0,111.0,70.0,52.0,24.0,17.0,6.0,8.0,2.0,0.0,93.0,53.0,39.0,20.0,16.0,0.0,4.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,8,103017,13.0,,Nicolas Kiefer,R,183.0,GER,28.8980150582,13.0,1590.0,103781,,,Jurgen Melzer,L,183.0,AUT,25.0184804928,70.0,580.0,7-6(4) 6-3 6-1,5,R128,131.0,9.0,2.0,85.0,47.0,36.0,26.0,14.0,1.0,1.0,8.0,1.0,96.0,65.0,45.0,10.0,14.0,10.0,14.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,9,104339,12.0,,Mario Ancic,R,196.0,CRO,22.1629021218,12.0,1710.0,103516,,WC,Nathan Healey,R,180.0,AUS,26.250513347,195.0,205.0,6-3 4-6 7-6(3) 6-1,5,R128,196.0,10.0,0.0,135.0,79.0,54.0,41.0,20.0,12.0,13.0,5.0,6.0,116.0,78.0,53.0,25.0,18.0,2.0,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2006-520,Roland Garros,Clay,128,G,20060529,10,104154,,,Paul Capdeville,R,190.0,CHI,23.1567419576,125.0,355.0,102257,,,Greg Rusedski,L,193.0,GBR,32.7255304586,42.0,830.0,6-3 6-1 4-6 7-6(7),5,R128,175.0,2.0,3.0,141.0,77.0,55.0,33.0,19.0,8.0,11.0,6.0,8.0,150.0,90.0,55.0,28.0,19.0,6.0,12.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
