tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2002-499,Delray Beach,0,32,A,20020304,1,104053,1.0,,Andy Roddick,0,188.0,USA,19.5099247091,13.0,1913.0,103786,,,Nikolay Davydenko,R,178.0,RUS,20.7529089665,86.0,472.0,6-4 6-1,3,3,70.0,6.0,2.0,61.0,41.0,30.0,9.0,8.0,4.0,5.0,0.0,2.0,55.0,33.0,15.0,11.0,9.0,1.0,6.0
2002-499,Delray Beach,0,32,A,20020304,2,102703,,,Hyung Taik Lee,0,180.0,KOR,26.1656399726,93.0,435.0,103176,,,David Sanchez,R,183.0,ESP,23.871321013,66.0,576.0,6-2 6-3,3,3,61.0,4.0,1.0,50.0,34.0,23.0,12.0,8.0,2.0,3.0,1.0,0.0,58.0,36.0,19.0,9.0,9.0,5.0,10.0
2002-499,Delray Beach,0,32,A,20020304,3,103566,,,Michael Llodra,1,190.0,FRA,21.7932922656,113.0,350.0,102231,,,Alex Calatrava,R,190.0,ESP,28.720054757,101.0,400.0,5-0 RET,3,3,18.0,3.0,0.0,16.0,12.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,7.0,3.0,2.0,3.0,1.0,3.0
2002-499,Delray Beach,0,32,A,20020304,4,103182,8.0,,Markus Hipfl,0,178.0,AUT,23.8548939083,74.0,535.0,102722,,,Attila Savolt,R,183.0,HUN,26.0752908966,85.0,473.0,7-5 7-5,3,3,105.0,2.0,1.0,83.0,54.0,40.0,13.0,12.0,9.0,11.0,7.0,3.0,68.0,35.0,28.0,11.0,12.0,3.0,7.0
2002-499,Delray Beach,0,32,A,20020304,5,103188,,,Michael Russell,0,173.0,USA,23.8412046543,92.0,445.0,102905,3.0,,Stefan Koubek,L,175.0,AUT,25.1663244353,50.0,778.0,3-6 6-3 6-2,3,3,126.0,2.0,0.0,100.0,81.0,52.0,6.0,13.0,10.0,14.0,3.0,0.0,97.0,53.0,28.0,22.0,13.0,8.0,14.0
2002-499,Delray Beach,0,32,A,20020304,6,103852,,Q,Feliciano Lopez,1,188.0,ESP,20.4517453799,144.0,275.0,102162,,Q,Chris Woodruff,R,188.0,USA,29.1663244353,156.0,248.0,6-7(4) 6-3 6-4,3,3,134.0,7.0,2.0,113.0,77.0,59.0,17.0,16.0,4.0,5.0,4.0,5.0,113.0,75.0,53.0,15.0,15.0,7.0,10.0
2002-499,Delray Beach,0,32,A,20020304,7,102179,,,Antony Dupuis,0,185.0,FRA,29.0212183436,82.0,481.0,102831,,,Jacobo Diaz,R,173.0,ESP,25.6454483231,81.0,482.0,6-4 6-1,3,3,57.0,9.0,0.0,47.0,29.0,23.0,13.0,9.0,0.0,0.0,3.0,1.0,48.0,35.0,17.0,9.0,8.0,1.0,4.0
2002-499,Delray Beach,0,32,A,20020304,8,103813,7.0,,Jarkko Nieminen,1,185.0,FIN,20.6132785763,68.0,567.0,102834,,WC,Paul Goldstein,R,178.0,USA,25.5797399042,174.0,218.0,6-1 6-2,3,3,66.0,2.0,0.0,47.0,36.0,25.0,5.0,7.0,4.0,5.0,1.0,2.0,58.0,34.0,18.0,7.0,8.0,6.0,12.0
2002-499,Delray Beach,0,32,A,20020304,9,102106,5.0,,Davide Sanguinetti,0,188.0,ITA,29.5222450376,60.0,614.0,103294,,,Christophe Rochus,R,170.0,BEL,23.2169746749,76.0,520.0,0-6 6-4 6-1,3,3,64.0,7.0,4.0,71.0,45.0,33.0,11.0,12.0,1.0,4.0,2.0,1.0,61.0,35.0,24.0,14.0,11.0,1.0,4.0
2002-499,Delray Beach,0,32,A,20020304,10,103709,,,Kristian Pless,0,188.0,DEN,21.0622861054,75.0,534.0,102887,,,Ramon Delgado,R,185.0,PAR,25.3004791239,80.0,490.0,6-4 6-3,3,3,58.0,4.0,0.0,50.0,36.0,28.0,8.0,9.0,2.0,3.0,2.0,2.0,58.0,33.0,22.0,10.0,10.0,1.0,5.0
2002-499,Delray Beach,0,32,A,20020304,11,103387,,,Paradorn Srichaphan,0,185.0,THA,22.7214236824,72.0,540.0,102788,,,Jan Vacek,R,198.0,CZE,25.8151950719,78.0,512.0,5-7 6-4 6-4,3,3,110.0,7.0,5.0,93.0,48.0,38.0,24.0,16.0,3.0,6.0,3.0,4.0,104.0,62.0,43.0,22.0,16.0,3.0,7.0
2002-499,Delray Beach,0,32,A,20020304,12,103454,4.0,,Nicolas Massu,0,183.0,CHI,22.3983572895,56.0,660.0,103319,,WC,Jeff Morrison,R,185.0,USA,23.0773442847,141.0,285.0,6-4 6-4,3,3,93.0,2.0,3.0,58.0,25.0,17.0,18.0,10.0,3.0,6.0,4.0,5.0,67.0,41.0,26.0,7.0,10.0,7.0,12.0
2002-499,Delray Beach,0,32,A,20020304,13,102694,6.0,,Lars Burgsmuller,0,183.0,GER,26.2422997947,79.0,492.0,103397,,Q,Alexandre Simoni,R,188.0,BRA,22.6721423682,129.0,311.0,6-2 4-6 6-2,3,3,105.0,15.0,2.0,72.0,44.0,33.0,19.0,13.0,3.0,4.0,12.0,5.0,101.0,64.0,42.0,16.0,13.0,7.0,11.0
2002-499,Delray Beach,0,32,A,20020304,14,102987,,,Andre Sa,0,185.0,BRA,24.8268309377,88.0,461.0,103280,,Q,Martin Verkerk,R,196.0,NED,23.3401779603,128.0,313.0,6-4 6-4,3,3,73.0,3.0,0.0,62.0,34.0,27.0,17.0,10.0,2.0,2.0,6.0,2.0,66.0,49.0,33.0,8.0,10.0,3.0,5.0
2002-499,Delray Beach,0,32,A,20020304,15,103888,,WC,Mardy Fish,0,188.0,USA,20.2327173169,134.0,299.0,102911,,,Andrei Stoliarov,R,178.0,RUS,25.1471594798,110.0,359.0,6-4 2-6 7-6(1),3,3,127.0,15.0,3.0,113.0,72.0,46.0,21.0,15.0,7.0,11.0,4.0,6.0,109.0,61.0,49.0,16.0,15.0,5.0,8.0
2002-499,Delray Beach,0,32,A,20020304,16,102998,2.0,,Jan Michael Gambill,0,190.0,USA,24.7501711157,23.0,1265.0,101885,,,Wayne Arthurs,L,190.0,AUS,30.9623545517,84.0,473.0,6-7(5) 6-3 7-6(6),3,3,131.0,23.0,2.0,94.0,55.0,49.0,26.0,16.0,0.0,0.0,17.0,7.0,121.0,53.0,46.0,33.0,17.0,8.0,10.0
2002-499,Delray Beach,0,32,A,20020304,17,104053,1.0,,Andy Roddick,0,188.0,USA,19.5099247091,13.0,1913.0,102703,,,Hyung Taik Lee,R,180.0,KOR,26.1656399726,93.0,435.0,7-5 6-2,3,4,64.0,10.0,5.0,55.0,32.0,27.0,12.0,10.0,2.0,3.0,4.0,2.0,56.0,30.0,18.0,14.0,10.0,4.0,8.0
2002-499,Delray Beach,0,32,A,20020304,18,103566,,,Michael Llodra,1,190.0,FRA,21.7932922656,113.0,350.0,103182,8.0,,Markus Hipfl,R,178.0,AUT,23.8548939083,74.0,535.0,6-3 6-4,3,4,66.0,7.0,3.0,54.0,30.0,25.0,14.0,10.0,0.0,1.0,3.0,1.0,59.0,34.0,21.0,13.0,9.0,6.0,9.0
2002-499,Delray Beach,0,32,A,20020304,19,103852,,Q,Feliciano Lopez,1,188.0,ESP,20.4517453799,144.0,275.0,103188,,,Michael Russell,R,173.0,USA,23.8412046543,92.0,445.0,4-6 6-3 6-4,3,4,101.0,15.0,2.0,87.0,60.0,51.0,13.0,15.0,5.0,6.0,3.0,0.0,80.0,61.0,40.0,15.0,14.0,3.0,5.0
2002-499,Delray Beach,0,32,A,20020304,20,102179,,,Antony Dupuis,0,185.0,FRA,29.0212183436,82.0,481.0,103813,7.0,,Jarkko Nieminen,L,185.0,FIN,20.6132785763,68.0,567.0,2-6 7-6(7) 6-1,3,4,107.0,7.0,1.0,91.0,54.0,41.0,20.0,14.0,5.0,8.0,3.0,0.0,83.0,57.0,39.0,14.0,13.0,3.0,6.0
2002-499,Delray Beach,0,32,A,20020304,21,102106,5.0,,Davide Sanguinetti,0,188.0,ITA,29.5222450376,60.0,614.0,103709,,,Kristian Pless,R,188.0,DEN,21.0622861054,75.0,534.0,6-3 6-2,3,4,46.0,8.0,1.0,44.0,28.0,23.0,10.0,9.0,0.0,1.0,3.0,2.0,50.0,33.0,19.0,6.0,8.0,4.0,8.0
2002-499,Delray Beach,0,32,A,20020304,22,103387,,,Paradorn Srichaphan,0,185.0,THA,22.7214236824,72.0,540.0,103454,4.0,,Nicolas Massu,R,183.0,CHI,22.3983572895,56.0,660.0,2-1 RET,3,4,12.0,2.0,0.0,8.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0
2002-499,Delray Beach,0,32,A,20020304,23,102987,,,Andre Sa,0,185.0,BRA,24.8268309377,88.0,461.0,102694,6.0,,Lars Burgsmuller,R,183.0,GER,26.2422997947,79.0,492.0,7-6(6) 7-5,3,4,107.0,2.0,1.0,74.0,52.0,28.0,14.0,12.0,2.0,7.0,1.0,3.0,81.0,40.0,25.0,14.0,12.0,5.0,11.0
2002-499,Delray Beach,0,32,A,20020304,24,102998,2.0,,Jan Michael Gambill,0,190.0,USA,24.7501711157,23.0,1265.0,103888,,WC,Mardy Fish,R,188.0,USA,20.2327173169,134.0,299.0,6-3 6-7(2) 6-1,3,4,105.0,14.0,5.0,80.0,41.0,36.0,22.0,15.0,1.0,2.0,8.0,1.0,81.0,55.0,35.0,13.0,13.0,7.0,11.0
2002-499,Delray Beach,0,32,A,20020304,25,104053,1.0,,Andy Roddick,0,188.0,USA,19.5099247091,13.0,1913.0,103566,,,Michael Llodra,L,190.0,FRA,21.7932922656,113.0,350.0,4-6 6-4 6-4,3,5,101.0,10.0,1.0,87.0,61.0,49.0,11.0,15.0,1.0,2.0,9.0,4.0,103.0,68.0,49.0,18.0,15.0,9.0,11.0
2002-499,Delray Beach,0,32,A,20020304,26,102179,,,Antony Dupuis,0,185.0,FRA,29.0212183436,82.0,481.0,103852,,Q,Feliciano Lopez,L,188.0,ESP,20.4517453799,144.0,275.0,7-6(2) 7-6(3),3,5,98.0,2.0,4.0,77.0,42.0,36.0,21.0,12.0,3.0,4.0,8.0,1.0,69.0,41.0,32.0,17.0,12.0,0.0,1.0
2002-499,Delray Beach,0,32,A,20020304,27,102106,5.0,,Davide Sanguinetti,0,188.0,ITA,29.5222450376,60.0,614.0,103387,,,Paradorn Srichaphan,R,185.0,THA,22.7214236824,72.0,540.0,6-4 3-6 6-3,3,5,114.0,8.0,1.0,92.0,51.0,40.0,21.0,14.0,7.0,9.0,3.0,1.0,93.0,39.0,30.0,27.0,14.0,8.0,11.0
2002-499,Delray Beach,0,32,A,20020304,28,102998,2.0,,Jan Michael Gambill,0,190.0,USA,24.7501711157,23.0,1265.0,102987,,,Andre Sa,R,185.0,BRA,24.8268309377,88.0,461.0,6-7(4) 6-4 6-4,3,5,159.0,18.0,7.0,113.0,61.0,46.0,24.0,16.0,5.0,8.0,2.0,5.0,121.0,76.0,47.0,24.0,16.0,7.0,12.0
2002-499,Delray Beach,0,32,A,20020304,29,104053,1.0,,Andy Roddick,0,188.0,USA,19.5099247091,13.0,1913.0,102179,,,Antony Dupuis,R,185.0,FRA,29.0212183436,82.0,481.0,7-6(4) 6-4,3,6,92.0,10.0,1.0,66.0,42.0,35.0,17.0,11.0,2.0,3.0,9.0,2.0,80.0,43.0,34.0,19.0,11.0,6.0,8.0
2002-499,Delray Beach,0,32,A,20020304,30,102106,5.0,,Davide Sanguinetti,0,188.0,ITA,29.5222450376,60.0,614.0,102998,2.0,,Jan Michael Gambill,R,190.0,USA,24.7501711157,23.0,1265.0,7-6(8) 6-3,3,6,99.0,6.0,3.0,82.0,39.0,29.0,24.0,11.0,3.0,5.0,7.0,2.0,67.0,36.0,28.0,13.0,10.0,3.0,6.0
2002-499,Delray Beach,0,32,A,20020304,31,102106,5.0,,Davide Sanguinetti,0,188.0,ITA,29.5222450376,60.0,614.0,104053,1.0,,Andy Roddick,R,188.0,USA,19.5099247091,13.0,1913.0,6-4 4-6 6-4,3,7,112.0,9.0,0.0,91.0,48.0,35.0,29.0,15.0,5.0,6.0,14.0,5.0,89.0,51.0,43.0,17.0,15.0,4.0,6.0
2002-495,Dubai,0,32,A,20020225,1,103507,1.0,,Juan Carlos Ferrero,0,183.0,ESP,22.0369609856,3.0,3005.0,102539,,,Bohdan Ulihrach,R,188.0,CZE,27.0061601643,39.0,950.0,7-5 RET,3,3,44.0,7.0,1.0,39.0,20.0,17.0,11.0,7.0,3.0,3.0,4.0,2.0,35.0,16.0,15.0,9.0,6.0,0.0,1.0
2002-495,Dubai,0,32,A,20020225,2,101962,,,Younes El Aynaoui,0,193.0,MAR,30.4558521561,21.0,1268.0,102318,,,Andrei Pavel,R,183.0,ROU,28.0793976728,30.0,1110.0,7-5 2-6 6-4,3,3,121.0,10.0,4.0,86.0,46.0,39.0,18.0,15.0,0.0,2.0,7.0,1.0,97.0,58.0,43.0,20.0,15.0,5.0,7.0
2002-495,Dubai,0,32,A,20020225,3,102783,,,Rainer Schuettler,0,180.0,GER,25.8370978782,40.0,930.0,103990,,,Tommy Robredo,R,180.0,ESP,19.8220396988,34.0,1040.0,6-3 6-2,3,3,76.0,2.0,2.0,67.0,29.0,21.0,18.0,9.0,7.0,10.0,0.0,5.0,53.0,32.0,16.0,7.0,8.0,4.0,10.0
2002-495,Dubai,0,32,A,20020225,4,103819,6.0,,Roger Federer,0,185.0,SUI,20.5503080082,14.0,1750.0,102437,,Q,Adrian Voinea,R,185.0,ROU,27.5564681725,76.0,521.0,6-3 6-4,3,3,56.0,6.0,2.0,62.0,44.0,32.0,10.0,10.0,5.0,6.0,4.0,4.0,56.0,35.0,18.0,14.0,9.0,5.0,8.0
2002-495,Dubai,0,32,A,20020225,5,102563,3.0,,Thomas Johansson,0,180.0,SWE,26.9267624914,10.0,2300.0,102610,,,Albert Costa,R,180.0,ESP,26.6721423682,29.0,1110.0,6-3 6-0,3,3,61.0,8.0,0.0,34.0,19.0,17.0,11.0,7.0,0.0,0.0,2.0,3.0,57.0,19.0,13.0,13.0,8.0,4.0,9.0
2002-495,Dubai,0,32,A,20020225,6,102231,,,Alex Calatrava,0,190.0,ESP,28.7008898015,104.0,390.0,104022,,,Mikhail Youzhny,R,183.0,RUS,19.6714579055,69.0,546.0,6-3 6-4,3,3,79.0,4.0,0.0,61.0,38.0,30.0,14.0,10.0,5.0,5.0,0.0,1.0,55.0,31.0,23.0,13.0,9.0,4.0,6.0
2002-495,Dubai,0,32,A,20020225,7,103018,,,Max Mirnyi,0,196.0,BLR,24.6406570842,38.0,985.0,101746,,Q,Renzo Furlan,R,175.0,ITA,31.7782340862,180.0,212.0,7-6(5) 6-3,3,3,88.0,11.0,2.0,68.0,41.0,32.0,16.0,10.0,5.0,6.0,2.0,3.0,64.0,35.0,23.0,17.0,10.0,2.0,5.0
2002-495,Dubai,0,32,A,20020225,8,102450,5.0,,Tim Henman,0,185.0,GBR,27.4715947981,11.0,2200.0,103914,,WC,Omar Awadhy,R,,UAE,20.1095140315,1018.0,5.0,6-1 6-0,3,3,43.0,3.0,0.0,33.0,19.0,17.0,7.0,6.0,0.0,0.0,0.0,8.0,42.0,15.0,5.0,9.0,7.0,4.0,10.0
2002-495,Dubai,0,32,A,20020225,9,103017,,,Nicolas Kiefer,0,183.0,GER,24.643394935,47.0,795.0,101964,7.0,,Goran Ivanisevic,L,193.0,CRO,30.4531143053,15.0,1740.0,6-3 6-4,3,3,72.0,6.0,5.0,60.0,34.0,26.0,14.0,10.0,3.0,5.0,13.0,2.0,58.0,31.0,22.0,9.0,9.0,4.0,8.0
2002-495,Dubai,0,32,A,20020225,10,103344,,,Ivan Ljubicic,0,193.0,CRO,22.9404517454,33.0,1092.0,101611,,WC,Cedric Pioline,R,188.0,FRA,32.6981519507,89.0,453.0,6-3 6-2,3,3,64.0,12.0,1.0,54.0,36.0,28.0,11.0,9.0,1.0,1.0,5.0,4.0,41.0,19.0,15.0,9.0,8.0,2.0,5.0
2002-495,Dubai,0,32,A,20020225,11,102148,,,Fabrice Santoro,0,178.0,FRA,29.2128678987,26.0,1180.0,102306,,Q,Michael Kohlmann,R,188.0,GER,28.1232032854,120.0,336.0,7-6(0) 3-6 6-4,3,3,128.0,13.0,4.0,97.0,52.0,41.0,22.0,16.0,7.0,11.0,4.0,1.0,103.0,64.0,41.0,19.0,15.0,6.0,9.0
2002-495,Dubai,0,32,A,20020225,12,103206,4.0,,Sebastien Grosjean,0,175.0,FRA,23.7453798768,9.0,2330.0,102905,,,Stefan Koubek,L,175.0,AUT,25.1471594798,49.0,778.0,6-2 6-2,3,3,63.0,4.0,1.0,54.0,27.0,18.0,20.0,8.0,6.0,6.0,0.0,4.0,50.0,28.0,16.0,9.0,8.0,5.0,9.0
2002-495,Dubai,0,32,A,20020225,13,102562,8.0,,Jiri Novak,0,190.0,CZE,26.932238193,17.0,1661.0,103103,,,Dominik Hrbaty,R,183.0,SVK,24.1423682409,50.0,766.0,6-2 6-1,3,3,58.0,4.0,0.0,38.0,27.0,21.0,7.0,7.0,0.0,0.0,4.0,7.0,66.0,33.0,22.0,11.0,8.0,9.0,14.0
2002-495,Dubai,0,32,A,20020225,14,102809,,,Axel Pretzsch,0,185.0,GER,25.6947296372,136.0,301.0,102369,,,Julien Boutter,R,190.0,FRA,27.8932238193,63.0,595.0,6-4 6-4,3,3,71.0,4.0,3.0,60.0,32.0,30.0,14.0,10.0,2.0,2.0,7.0,3.0,49.0,32.0,26.0,8.0,10.0,0.0,2.0
2002-495,Dubai,0,32,A,20020225,15,102854,,WC,Sjeng Schalken,0,193.0,NED,25.4647501711,28.0,1140.0,103096,,,Arnaud Clement,R,173.0,FRA,24.1916495551,42.0,845.0,6-3 7-6(1),3,3,85.0,4.0,3.0,66.0,44.0,37.0,13.0,11.0,2.0,3.0,6.0,3.0,65.0,31.0,20.0,20.0,10.0,6.0,8.0
2002-495,Dubai,0,32,A,20020225,16,102338,2.0,,Yevgeny Kafelnikov,0,190.0,RUS,28.0191649555,4.0,2775.0,103505,,Q,Vasilis Mazarakis,R,178.0,GRE,22.045174538,179.0,213.0,6-4 7-5,3,3,83.0,5.0,4.0,64.0,30.0,24.0,17.0,11.0,2.0,4.0,3.0,3.0,64.0,23.0,16.0,19.0,11.0,3.0,7.0
2002-495,Dubai,0,32,A,20020225,17,101962,,,Younes El Aynaoui,0,193.0,MAR,30.4558521561,21.0,1268.0,103507,1.0,,Juan Carlos Ferrero,R,183.0,ESP,22.0369609856,3.0,3005.0,7-5 4-6 2-1 RET,3,4,109.0,16.0,3.0,77.0,45.0,32.0,23.0,13.0,2.0,3.0,16.0,6.0,88.0,48.0,39.0,18.0,13.0,11.0,12.0
2002-495,Dubai,0,32,A,20020225,18,102783,,,Rainer Schuettler,0,180.0,GER,25.8370978782,40.0,930.0,103819,6.0,,Roger Federer,R,185.0,SUI,20.5503080082,14.0,1750.0,6-3 6-1,3,4,53.0,4.0,0.0,43.0,22.0,17.0,15.0,8.0,0.0,0.0,3.0,2.0,53.0,35.0,24.0,3.0,8.0,4.0,8.0
2002-495,Dubai,0,32,A,20020225,19,102563,3.0,,Thomas Johansson,0,180.0,SWE,26.9267624914,10.0,2300.0,102231,,,Alex Calatrava,R,190.0,ESP,28.7008898015,104.0,390.0,6-2 2-1 RET,3,4,51.0,1.0,1.0,34.0,20.0,17.0,5.0,7.0,5.0,7.0,3.0,0.0,36.0,21.0,10.0,5.0,6.0,3.0,7.0
2002-495,Dubai,0,32,A,20020225,20,102450,5.0,,Tim Henman,0,185.0,GBR,27.4715947981,11.0,2200.0,103018,,,Max Mirnyi,R,196.0,BLR,24.6406570842,38.0,985.0,6-4 6-4,3,4,90.0,0.0,1.0,59.0,41.0,29.0,12.0,10.0,4.0,5.0,5.0,6.0,70.0,39.0,28.0,13.0,10.0,6.0,9.0
2002-495,Dubai,0,32,A,20020225,21,103344,,,Ivan Ljubicic,0,193.0,CRO,22.9404517454,33.0,1092.0,103017,,,Nicolas Kiefer,R,183.0,GER,24.643394935,47.0,795.0,6-4 6-2,3,4,85.0,11.0,5.0,50.0,21.0,18.0,15.0,9.0,1.0,3.0,4.0,7.0,72.0,33.0,21.0,15.0,9.0,8.0,13.0
2002-495,Dubai,0,32,A,20020225,22,102148,,,Fabrice Santoro,0,178.0,FRA,29.2128678987,26.0,1180.0,103206,4.0,,Sebastien Grosjean,R,175.0,FRA,23.7453798768,9.0,2330.0,6-2 7-5,3,4,79.0,2.0,2.0,61.0,27.0,18.0,20.0,10.0,1.0,2.0,2.0,1.0,57.0,28.0,18.0,15.0,10.0,2.0,6.0
2002-495,Dubai,0,32,A,20020225,23,102562,8.0,,Jiri Novak,0,190.0,CZE,26.932238193,17.0,1661.0,102809,,,Axel Pretzsch,R,185.0,GER,25.6947296372,136.0,301.0,7-5 6-0,3,4,68.0,4.0,3.0,47.0,24.0,17.0,13.0,9.0,2.0,4.0,1.0,1.0,70.0,40.0,18.0,14.0,9.0,7.0,13.0
2002-495,Dubai,0,32,A,20020225,24,102338,2.0,,Yevgeny Kafelnikov,0,190.0,RUS,28.0191649555,4.0,2775.0,102854,,WC,Sjeng Schalken,R,193.0,NED,25.4647501711,28.0,1140.0,6-1 7-6(5),3,4,86.0,3.0,1.0,57.0,29.0,23.0,16.0,10.0,2.0,4.0,2.0,4.0,70.0,41.0,25.0,12.0,9.0,4.0,8.0
2002-495,Dubai,0,32,A,20020225,25,101962,,,Younes El Aynaoui,0,193.0,MAR,30.4558521561,21.0,1268.0,102783,,,Rainer Schuettler,R,180.0,GER,25.8370978782,40.0,930.0,6-7(3) 6-4 6-3,3,5,137.0,10.0,4.0,113.0,62.0,44.0,30.0,16.0,7.0,8.0,4.0,2.0,90.0,46.0,30.0,31.0,15.0,3.0,6.0
2002-495,Dubai,0,32,A,20020225,26,102563,3.0,,Thomas Johansson,0,180.0,SWE,26.9267624914,10.0,2300.0,102450,5.0,,Tim Henman,R,185.0,GBR,27.4715947981,11.0,2200.0,6-4 6-3,3,5,76.0,0.0,1.0,61.0,33.0,24.0,15.0,10.0,3.0,5.0,2.0,1.0,48.0,28.0,20.0,7.0,9.0,2.0,6.0
2002-495,Dubai,0,32,A,20020225,27,102148,,,Fabrice Santoro,0,178.0,FRA,29.2128678987,26.0,1180.0,103344,,,Ivan Ljubicic,R,193.0,CRO,22.9404517454,33.0,1092.0,6-4 7-6(5),3,5,91.0,4.0,2.0,71.0,37.0,30.0,16.0,11.0,1.0,3.0,4.0,0.0,61.0,31.0,22.0,17.0,11.0,4.0,7.0
2002-495,Dubai,0,32,A,20020225,28,102562,8.0,,Jiri Novak,0,190.0,CZE,26.932238193,17.0,1661.0,102338,2.0,,Yevgeny Kafelnikov,R,190.0,RUS,28.0191649555,4.0,2775.0,6-1 6-1,3,5,51.0,4.0,0.0,47.0,27.0,20.0,13.0,7.0,2.0,2.0,2.0,4.0,48.0,20.0,12.0,9.0,7.0,2.0,7.0
2002-495,Dubai,0,32,A,20020225,29,101962,,,Younes El Aynaoui,0,193.0,MAR,30.4558521561,21.0,1268.0,102563,3.0,,Thomas Johansson,R,180.0,SWE,26.9267624914,10.0,2300.0,7-6(5) 4-6 6-3,3,6,141.0,7.0,6.0,106.0,61.0,46.0,21.0,16.0,5.0,8.0,4.0,3.0,98.0,61.0,42.0,19.0,15.0,9.0,12.0
2002-495,Dubai,0,32,A,20020225,30,102148,,,Fabrice Santoro,0,178.0,FRA,29.2128678987,26.0,1180.0,102562,8.0,,Jiri Novak,R,190.0,CZE,26.932238193,17.0,1661.0,5-7 6-3 7-6(4),3,6,135.0,6.0,5.0,116.0,59.0,42.0,24.0,17.0,6.0,12.0,5.0,1.0,97.0,68.0,40.0,15.0,16.0,4.0,10.0
2002-495,Dubai,0,32,A,20020225,31,102148,,,Fabrice Santoro,0,178.0,FRA,29.2128678987,26.0,1180.0,101962,,,Younes El Aynaoui,R,193.0,MAR,30.4558521561,21.0,1268.0,6-4 3-6 6-3,3,7,138.0,2.0,5.0,109.0,75.0,52.0,15.0,14.0,13.0,15.0,8.0,2.0,90.0,62.0,47.0,13.0,14.0,5.0,8.0
2002-496,Marseille,0,32,A,20020211,1,103507,1.0,,Juan Carlos Ferrero,0,183.0,ESP,21.9986310746,3.0,3005.0,103356,,,Michel Kratochvil,R,185.0,SUI,22.8501026694,43.0,870.0,6-3 7-5,3,3,67.0,6.0,2.0,65.0,42.0,32.0,14.0,11.0,2.0,3.0,1.0,1.0,55.0,32.0,21.0,13.0,10.0,1.0,4.0
2002-496,Marseille,0,32,A,20020211,2,102911,,,Andrei Stoliarov,0,178.0,RUS,25.0896646133,112.0,369.0,103344,,,Ivan Ljubicic,R,193.0,CRO,22.9021218344,33.0,1052.0,3-6 7-5 7-6(5),3,3,139.0,6.0,3.0,105.0,43.0,35.0,32.0,16.0,4.0,7.0,21.0,1.0,102.0,60.0,48.0,20.0,17.0,7.0,10.0
2002-496,Marseille,0,32,A,20020211,3,102369,,,Julien Boutter,0,190.0,FRA,27.8548939083,59.0,620.0,102788,,,Jan Vacek,R,198.0,CZE,25.7577002053,75.0,520.0,7-6(1) 1-6 6-1,3,3,105.0,20.0,3.0,70.0,44.0,36.0,14.0,13.0,3.0,6.0,6.0,5.0,95.0,62.0,44.0,14.0,13.0,8.0,11.0
2002-496,Marseille,0,32,A,20020211,4,101611,,,Cedric Pioline,0,188.0,FRA,32.6598220397,99.0,418.0,101962,7.0,,Younes El Aynaoui,R,193.0,MAR,30.417522245,20.0,1268.0,6-4 2-1 RET,3,3,51.0,4.0,2.0,35.0,14.0,11.0,14.0,6.0,0.0,0.0,5.0,0.0,42.0,34.0,21.0,4.0,7.0,1.0,3.0
2002-496,Marseille,0,32,A,20020211,5,102257,,,Greg Rusedski,1,193.0,GBR,28.4325804244,30.0,1100.0,102563,4.0,,Thomas Johansson,R,180.0,SWE,26.8884325804,10.0,2300.0,6-4 3-6 6-3,3,3,84.0,18.0,9.0,84.0,40.0,34.0,26.0,14.0,2.0,3.0,7.0,0.0,67.0,33.0,30.0,20.0,14.0,1.0,3.0
2002-496,Marseille,0,32,A,20020211,6,102148,,,Fabrice Santoro,0,178.0,FRA,29.1745379877,26.0,1180.0,102227,,,Sargis Sargsian,R,180.0,ARM,28.6926762491,70.0,544.0,6-1 3-6 7-6(11),3,3,132.0,7.0,2.0,95.0,49.0,40.0,28.0,14.0,3.0,5.0,7.0,0.0,102.0,64.0,43.0,20.0,14.0,4.0,7.0
2002-496,Marseille,0,32,A,20020211,7,102765,,,Nicolas Escude,0,185.0,FRA,25.8590006845,27.0,1160.0,103786,,,Nikolay Davydenko,R,178.0,RUS,20.6954140999,86.0,472.0,6-2 6-3,3,3,69.0,7.0,1.0,43.0,25.0,23.0,13.0,9.0,0.0,0.0,3.0,3.0,61.0,32.0,19.0,13.0,8.0,8.0,11.0
2002-496,Marseille,0,32,A,20020211,8,102967,,LL,Marc Gicquel,0,188.0,FRA,24.8706365503,369.0,80.0,103917,,WC,Nicolas Mahut,R,190.0,FRA,20.0574948665,209.0,179.0,6-4 6-3,3,3,75.0,9.0,1.0,71.0,41.0,29.0,19.0,10.0,6.0,6.0,10.0,0.0,49.0,29.0,20.0,12.0,9.0,0.0,2.0
