tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2000-717,Orlando,Clay,32,A,20000501,1,102179,,,Antony Dupuis,R,185.0,FRA,27.1813826146,113.0,351.0,102776,1.0,,Andrew Ilie,R,180.0,AUS,24.0355920602,50.0,762.0,3-6 7-6(6) 7-6(4),3,R32,162.0,8.0,1.0,126.0,76.0,56.0,29.0,16.0,14.0,15.0,13.0,4.0,110.0,59.0,49.0,31.0,17.0,4.0,4.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102776,102179,False,True
2000-717,Orlando,Clay,32,A,20000501,2,103602,,Q,Fernando Gonzalez,R,183.0,CHI,19.7563312799,352.0,76.0,102821,,WC,Cecil Mamiit,R,173.0,PHI,23.8439425051,139.0,280.0,6-2 7-5,3,R32,86.0,4.0,2.0,67.0,35.0,25.0,16.0,10.0,4.0,6.0,0.0,0.0,57.0,24.0,13.0,17.0,10.0,4.0,9.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103602,102821,True,False
2000-717,Orlando,Clay,32,A,20000501,3,103387,,,Paradorn Srichaphan,R,185.0,THA,20.8815879535,103.0,380.0,102205,,,Sebastien Lareau,R,183.0,CAN,27.0116358658,133.0,293.0,6-1 6-3,3,R32,64.0,4.0,1.0,46.0,29.0,23.0,11.0,8.0,0.0,0.0,2.0,2.0,65.0,39.0,22.0,10.0,8.0,6.0,10.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102205,103387,False,True
2000-717,Orlando,Clay,32,A,20000501,4,101733,,,Jan Siemerink,L,183.0,NED,30.0479123888,107.0,371.0,102925,8.0,,Justin Gimelstob,R,196.0,USA,23.2607802875,95.0,408.0,4-6 6-2 7-5,3,R32,150.0,8.0,6.0,109.0,56.0,43.0,21.0,15.0,9.0,12.0,4.0,6.0,104.0,57.0,35.0,24.0,15.0,6.0,11.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,101733,102925,True,False
2000-717,Orlando,Clay,32,A,20000501,5,101727,4.0,,Jason Stoltenberg,R,185.0,AUS,30.0752908966,74.0,543.0,101826,,,Alex Lopez Moron,R,175.0,ESP,29.4236824093,111.0,357.0,6-1 6-4,3,R32,60.0,3.0,0.0,50.0,27.0,22.0,16.0,9.0,1.0,1.0,0.0,3.0,47.0,28.0,17.0,10.0,8.0,3.0,6.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,101727,101826,True,False
2000-717,Orlando,Clay,32,A,20000501,6,103181,,,Jiri Vanek,R,185.0,CZE,22.0205338809,92.0,429.0,101885,,,Wayne Arthurs,L,190.0,AUS,29.1225188227,102.0,381.0,6-7(2) 6-4 6-3,3,R32,115.0,9.0,4.0,95.0,60.0,43.0,26.0,16.0,5.0,6.0,11.0,8.0,94.0,48.0,31.0,29.0,15.0,6.0,9.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,103181,101885,True,False
2000-717,Orlando,Clay,32,A,20000501,7,101675,,,Martin Rodriguez,R,178.0,ARG,30.3682409309,120.0,322.0,102455,,,Lorenzo Manta,R,190.0,SUI,25.6235455168,112.0,356.0,6-7(7) 7-6(2) 7-6(3),3,R32,171.0,4.0,11.0,148.0,65.0,54.0,43.0,18.0,9.0,12.0,5.0,5.0,126.0,70.0,45.0,36.0,18.0,3.0,6.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102455,101675,False,True
2000-717,Orlando,Clay,32,A,20000501,8,102834,5.0,,Paul Goldstein,R,178.0,USA,23.7399041752,79.0,516.0,101086,,,Ronald Agenor,R,180.0,USA,35.4633812457,91.0,430.0,6-2 6-1,3,R32,66.0,1.0,1.0,42.0,23.0,19.0,13.0,8.0,0.0,0.0,0.0,0.0,42.0,25.0,9.0,10.0,7.0,3.0,7.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102834,101086,True,False
2000-717,Orlando,Clay,32,A,20000501,9,103454,6.0,,Nicolas Massu,R,183.0,CHI,20.5585215606,89.0,464.0,102133,,,Laurence Tieleman,R,180.0,ITA,27.4606433949,97.0,404.0,6-2 6-3,3,R32,63.0,2.0,2.0,49.0,30.0,26.0,10.0,9.0,3.0,4.0,2.0,3.0,47.0,25.0,13.0,10.0,8.0,3.0,7.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102133,103454,False,True
2000-717,Orlando,Clay,32,A,20000501,10,102466,,,Jan Kroslak,R,188.0,SVK,25.5386721424,125.0,315.0,102966,,,Fredrik Jonsson,R,193.0,SWE,23.0937713895,117.0,342.0,6-1 3-6 7-6(4),3,R32,123.0,7.0,2.0,83.0,55.0,42.0,14.0,14.0,3.0,6.0,3.0,2.0,102.0,62.0,43.0,14.0,14.0,9.0,13.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102466,102966,True,False
2000-717,Orlando,Clay,32,A,20000501,11,103188,,WC,Michael Russell,R,173.0,USA,22.0013689254,165.0,221.0,103204,,WC,Hugo Armando,R,183.0,USA,21.9301848049,239.0,138.0,6-4 6-2,3,R32,76.0,1.0,4.0,56.0,36.0,26.0,11.0,9.0,2.0,3.0,2.0,1.0,52.0,27.0,16.0,12.0,9.0,0.0,4.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103188,103204,True,False
2000-717,Orlando,Clay,32,A,20000501,12,101150,3.0,,Gianluca Pozzi,L,180.0,ITA,34.8720054757,72.0,550.0,102880,,,Alexander Popp,R,201.0,GER,23.4880219028,105.0,378.0,6-3 6-2,3,R32,69.0,1.0,3.0,56.0,26.0,20.0,18.0,9.0,3.0,4.0,2.0,2.0,52.0,35.0,18.0,8.0,8.0,3.0,7.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102880,101150,False,True
2000-717,Orlando,Clay,32,A,20000501,13,103009,,Q,Razvan Sabau,R,185.0,ROU,22.8692676249,205.0,160.0,102987,7.0,,Andre Sa,R,185.0,BRA,22.9869952088,85.0,477.0,6-3 7-5,3,R32,98.0,4.0,1.0,69.0,50.0,37.0,9.0,11.0,4.0,5.0,3.0,5.0,74.0,32.0,23.0,18.0,10.0,7.0,10.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103009,102987,True,False
2000-717,Orlando,Clay,32,A,20000501,14,103082,,,Markus Hantschk,R,188.0,GER,22.4476386037,100.0,385.0,102720,,,Tomas Zib,R,178.0,CZE,24.2491444216,110.0,363.0,4-6 6-4 6-4,3,R32,149.0,7.0,0.0,98.0,67.0,48.0,14.0,15.0,7.0,10.0,4.0,0.0,96.0,67.0,43.0,13.0,15.0,7.0,11.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,103082,102720,True,False
2000-717,Orlando,Clay,32,A,20000501,15,103598,,Q,Xavier Malisse,R,185.0,BEL,19.7837097878,148.0,253.0,102233,,,Leander Paes,R,178.0,IND,26.8720054757,138.0,282.0,6-3 6-2,3,R32,52.0,0.0,0.0,43.0,37.0,29.0,4.0,8.0,3.0,3.0,3.0,5.0,52.0,30.0,21.0,5.0,9.0,1.0,5.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102233,103598,False,True
2000-717,Orlando,Clay,32,A,20000501,16,102887,,Q,Ramon Delgado,R,185.0,PAR,23.4606433949,216.0,155.0,102998,2.0,,Jan Michael Gambill,R,190.0,USA,22.9103353867,67.0,588.0,5-7 7-5 6-4,3,R32,144.0,5.0,3.0,106.0,66.0,52.0,17.0,17.0,1.0,4.0,15.0,5.0,112.0,59.0,47.0,22.0,17.0,8.0,12.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102998,102887,False,True
