tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2005-891,Chennai,Hard,32,A,20050103,1,102845,1.0,,Carlos Moya,R,190.0,ESP,28.3531827515,,,102382,,Q,Julian Knowle,L,188.0,AUT,30.6830937714,,,6-4 7-6(4),3,R32,90.0,13.0,2.0,60.0,35.0,28.0,19.0,11.0,0.0,1.0,4.0,3.0,70.0,43.0,31.0,14.0,11.0,2.0,4.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,102845,102382,True,False
2005-891,Chennai,Hard,32,A,20050103,2,102730,,,Ivo Heuberger,R,188.0,SUI,28.8733744011,,,104250,,WC,Prakash Amritraj,R,188.0,IND,21.2566735113,,,6-4 6-4,3,R32,78.0,11.0,0.0,53.0,37.0,32.0,12.0,10.0,4.0,4.0,3.0,3.0,65.0,38.0,22.0,17.0,10.0,4.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104250,102730,False,True
2005-891,Chennai,Hard,32,A,20050103,3,103908,,,Paul Henri Mathieu,R,185.0,FRA,22.9760438056,,,104386,,,Janko Tipsarevic,R,180.0,SRB,20.5338809035,,,6-3 6-4,3,R32,62.0,9.0,4.0,57.0,28.0,25.0,19.0,10.0,2.0,2.0,7.0,2.0,45.0,24.0,18.0,11.0,9.0,0.0,2.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103908,104386,True,False
2005-891,Chennai,Hard,32,A,20050103,4,102202,5.0,,Kenneth Carlsen,L,190.0,DEN,31.7152635181,,,103174,,,Noam Okun,R,185.0,ISR,26.7186858316,,,7-6(0) 6-4,3,R32,88.0,2.0,1.0,61.0,44.0,34.0,13.0,11.0,0.0,0.0,5.0,4.0,71.0,50.0,37.0,9.0,11.0,1.0,2.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103174,102202,False,True
2005-891,Chennai,Hard,32,A,20050103,5,103535,,,Olivier Patience,R,180.0,FRA,24.7775496235,,,102783,3.0,,Rainer Schuettler,R,180.0,GER,28.6926762491,,,6-2 6-2,3,R32,72.0,2.0,6.0,45.0,18.0,13.0,15.0,8.0,0.0,2.0,1.0,6.0,77.0,41.0,23.0,11.0,8.0,10.0,16.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103535,102783,True,False
2005-891,Chennai,Hard,32,A,20050103,6,103420,,,Michal Tabara,R,175.0,CZE,25.3990417522,,,103181,,,Jiri Vanek,R,185.0,CZE,26.6967830253,,,6-2 4-6 7-6(5),3,R32,125.0,4.0,9.0,103.0,55.0,40.0,23.0,15.0,8.0,11.0,12.0,6.0,89.0,50.0,37.0,17.0,15.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103181,103420,False,True
2005-891,Chennai,Hard,32,A,20050103,7,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,21.5852156057,,,102615,,,Dennis Van Scheppingen,R,185.0,NED,29.5003422313,,,3-6 6-3 6-2,3,R32,104.0,5.0,7.0,92.0,51.0,37.0,18.0,13.0,5.0,8.0,1.0,7.0,89.0,47.0,28.0,21.0,13.0,6.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104198,102615,True,False
2005-891,Chennai,Hard,32,A,20050103,8,103201,,,Adrian Garcia,R,175.0,CHI,26.6119096509,,,102571,7.0,,Gregory Carraz,R,190.0,FRA,29.7385352498,,,6-4 6-3,3,R32,68.0,3.0,2.0,56.0,31.0,24.0,13.0,10.0,1.0,3.0,7.0,7.0,62.0,31.0,24.0,8.0,9.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,102571,103201,False,True
2005-891,Chennai,Hard,32,A,20050103,9,103240,8.0,,Kevin Kim,R,180.0,USA,26.4421629021,,,103468,,Q,Harsh Mankad,R,173.0,IND,25.1498973306,,,6-4 4-6 6-4,3,R32,124.0,5.0,7.0,91.0,48.0,30.0,18.0,15.0,4.0,10.0,0.0,5.0,104.0,64.0,38.0,16.0,15.0,7.0,14.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103468,103240,False,True
2005-891,Chennai,Hard,32,A,20050103,10,102720,,,Tomas Zib,R,178.0,CZE,28.9253935661,,,102694,,,Lars Burgsmuller,R,183.0,GER,29.0787132101,,,6-1 6-4,3,R32,62.0,4.0,0.0,50.0,28.0,20.0,15.0,9.0,1.0,2.0,6.0,3.0,58.0,35.0,23.0,7.0,8.0,3.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,102694,102720,False,True
