tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2001-580,Australian Open,Hard,128,G,20010115,1,102856,1.0,,Gustavo Kuerten,R,190.0,BRA,24.34770705,1.0,4195.0,103292,,,Gaston Gaudio,R,175.0,ARG,22.1026694045,38.0,945.0,7-5 6-7(6) 6-3 7-5,5,R128,200.0,18.0,9.0,151.0,67.0,53.0,47.0,23.0,14.0,17.0,8.0,6.0,153.0,85.0,61.0,29.0,22.0,10.0,16.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102856,103292,True,False
2001-580,Australian Open,Hard,128,G,20010115,2,102257,,,Greg Rusedski,L,193.0,GBR,27.3593429158,65.0,625.0,102154,,Q,Marcos Ondruska,R,183.0,RSA,28.076659822,202.0,188.0,3-6 6-3 7-6(3) 6-2,5,R128,168.0,8.0,8.0,126.0,70.0,53.0,28.0,19.0,7.0,10.0,1.0,6.0,124.0,70.0,46.0,27.0,19.0,3.0,8.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102154,102257,False,True
2001-580,Australian Open,Hard,128,G,20010115,3,102905,,,Stefan Koubek,L,175.0,AUT,24.0355920602,48.0,780.0,101543,,,Jeff Tarango,L,180.0,USA,32.1533196441,112.0,364.0,3-6 6-3 6-4 6-2,5,R128,124.0,16.0,2.0,108.0,62.0,41.0,31.0,18.0,7.0,10.0,10.0,3.0,106.0,61.0,41.0,23.0,18.0,5.0,11.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,101543,102905,False,True
2001-580,Australian Open,Hard,128,G,20010115,4,102694,,Q,Lars Burgsmuller,R,183.0,GER,25.1115674196,185.0,208.0,103305,,,Daniel Elsner,R,183.0,GER,22.0314852841,99.0,412.0,5-7 6-7(7) 6-3 7-5 6-4,5,R128,247.0,10.0,9.0,195.0,102.0,75.0,46.0,28.0,10.0,15.0,7.0,11.0,182.0,98.0,74.0,34.0,27.0,11.0,18.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102694,103305,True,False
2001-580,Australian Open,Hard,128,G,20010115,5,102765,,,Nicolas Escude,R,185.0,FRA,24.7857631759,46.0,840.0,102607,,,Juan Balcells,R,190.0,ESP,25.5742642026,74.0,552.0,6-3 3-6 7-6(5) 5-7 6-4,5,R128,203.0,12.0,5.0,169.0,99.0,72.0,37.0,26.0,9.0,15.0,8.0,1.0,169.0,113.0,77.0,30.0,26.0,12.0,18.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102607,102765,False,True
2001-580,Australian Open,Hard,128,G,20010115,6,103819,,,Roger Federer,R,185.0,SUI,19.4387405886,29.0,1080.0,103324,,,Arnaud Di Pasquale,R,185.0,FRA,21.9274469541,61.0,670.0,6-4 4-6 6-1 7-5,5,R128,132.0,6.0,0.0,120.0,81.0,52.0,25.0,19.0,5.0,8.0,1.0,2.0,124.0,78.0,48.0,23.0,20.0,4.0,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,103819,103324,True,False
2001-580,Australian Open,Hard,128,G,20010115,7,103252,,,Alberto Martin,R,175.0,ESP,22.4065708419,81.0,518.0,103694,,,Olivier Rochus,R,168.0,BEL,19.9917864476,70.0,582.0,6-3 6-4 6-0,5,R128,101.0,6.0,2.0,79.0,48.0,33.0,20.0,12.0,2.0,3.0,2.0,2.0,95.0,52.0,30.0,16.0,13.0,5.0,11.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,103694,103252,False,True
2001-580,Australian Open,Hard,128,G,20010115,8,103096,15.0,,Arnaud Clement,R,173.0,FRA,23.0800821355,18.0,1360.0,103990,,Q,Tommy Robredo,R,180.0,ESP,18.7104722793,111.0,366.0,6-3 6-2 7-5,5,R128,104.0,3.0,1.0,82.0,56.0,42.0,14.0,14.0,2.0,4.0,2.0,4.0,84.0,46.0,28.0,18.0,15.0,6.0,12.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,103990,103096,False,True
2001-580,Australian Open,Hard,128,G,20010115,9,101965,10.0,,Wayne Ferreira,R,185.0,RSA,29.3360711841,13.0,1770.0,102223,,,Karim Alami,R,185.0,MAR,27.6468172485,55.0,725.0,6-3 7-5 6-4,5,R128,102.0,7.0,2.0,83.0,46.0,41.0,24.0,16.0,0.0,0.0,5.0,5.0,97.0,61.0,45.0,16.0,15.0,6.0,9.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,101965,102223,True,False
2001-580,Australian Open,Hard,128,G,20010115,10,102369,,,Julien Boutter,R,190.0,FRA,26.7816563997,67.0,594.0,102800,,Q,Nenad Zimonjic,R,190.0,SRB,24.6160164271,284.0,111.0,6-1 6-4 6-3,5,R128,101.0,6.0,4.0,85.0,53.0,40.0,15.0,13.0,6.0,8.0,3.0,9.0,86.0,52.0,29.0,11.0,13.0,6.0,13.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102369,102800,True,False
2001-580,Australian Open,Hard,128,G,20010115,11,103714,,,Andreas Vinciguerra,L,180.0,SWE,19.9041752225,52.0,760.0,102437,,,Adrian Voinea,R,185.0,ROU,26.4449007529,114.0,356.0,7-6(4) 6-3 6-2,5,R128,110.0,10.0,2.0,119.0,69.0,45.0,34.0,15.0,8.0,9.0,6.0,4.0,82.0,46.0,29.0,18.0,14.0,2.0,6.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102437,103714,False,True
2001-580,Australian Open,Hard,128,G,20010115,12,102446,,,Andrei Medvedev,R,193.0,UKR,26.3764544832,59.0,690.0,103917,,WC,Nicolas Mahut,R,190.0,FRA,18.984257358,388.0,64.0,6-2 6-4 2-6 4-6 6-4,5,R128,167.0,14.0,5.0,142.0,87.0,64.0,29.0,23.0,7.0,11.0,8.0,2.0,139.0,93.0,61.0,25.0,23.0,6.0,11.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,103917,102446,False,True
2001-580,Australian Open,Hard,128,G,20010115,13,102162,,,Chris Woodruff,R,188.0,USA,28.0355920602,68.0,590.0,102998,,,Jan Michael Gambill,R,190.0,USA,23.6194387406,32.0,1055.0,6-3 4-6 4-6 7-5 6-3,5,R128,243.0,15.0,10.0,174.0,93.0,66.0,43.0,25.0,16.0,20.0,18.0,12.0,187.0,104.0,66.0,44.0,25.0,17.0,23.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102998,102162,False,True
2001-580,Australian Open,Hard,128,G,20010115,14,102880,,,Alexander Popp,R,201.0,GER,24.1971252567,84.0,500.0,103387,,,Paradorn Srichaphan,R,185.0,THA,21.5906913073,110.0,372.0,3-6 6-4 6-1 3-6 6-2,5,R128,151.0,5.0,7.0,129.0,83.0,57.0,21.0,22.0,8.0,14.0,9.0,7.0,142.0,82.0,53.0,26.0,21.0,10.0,19.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102880,103387,True,False
2001-580,Australian Open,Hard,128,G,20010115,15,103017,,,Nicolas Kiefer,R,183.0,GER,23.5318275154,22.0,1215.0,102286,,,Wayne Black,R,170.0,ZIM,27.1704312115,107.0,387.0,6-3 7-5 6-2,5,R128,141.0,9.0,4.0,100.0,41.0,31.0,32.0,15.0,5.0,7.0,2.0,1.0,83.0,42.0,27.0,17.0,14.0,4.0,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,103017,102286,True,False
2001-580,Australian Open,Hard,128,G,20010115,16,102338,4.0,,Yevgeny Kafelnikov,R,190.0,RUS,26.9075975359,5.0,2935.0,102533,,,Jens Knippschild,R,190.0,GER,25.916495551,109.0,374.0,6-1 6-4 6-2,5,R128,92.0,8.0,5.0,90.0,41.0,31.0,30.0,12.0,8.0,9.0,7.0,1.0,81.0,36.0,24.0,15.0,13.0,6.0,12.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102533,102338,False,True
2001-580,Australian Open,Hard,128,G,20010115,17,102796,5.0,,Magnus Norman,R,188.0,SWE,24.629705681,4.0,3055.0,101902,,,Stephane Huet,L,180.0,FRA,29.7275838467,119.0,333.0,1-6 7-5 6-1 7-6(5),5,R128,163.0,9.0,0.0,122.0,75.0,56.0,18.0,19.0,5.0,10.0,10.0,8.0,127.0,61.0,37.0,35.0,19.0,9.0,15.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,102796,101902,True,False
2001-580,Australian Open,Hard,128,G,20010115,18,102148,,,Fabrice Santoro,R,178.0,FRA,28.1013004791,47.0,830.0,102021,,,Michael Chang,R,175.0,USA,28.8980150582,33.0,995.0,7-5 4-6 6-3 6-4,5,R128,194.0,4.0,2.0,135.0,62.0,48.0,41.0,20.0,9.0,13.0,6.0,4.0,141.0,83.0,57.0,25.0,21.0,8.0,14.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102148,102021,True,False
2001-580,Australian Open,Hard,128,G,20010115,19,103909,,,Guillermo Coria,R,175.0,ARG,19.0061601643,79.0,526.0,103602,,,Fernando Gonzalez,R,183.0,CHI,20.4654346338,116.0,343.0,4-6 7-6(5) 6-4 6-4,5,R128,151.0,10.0,4.0,132.0,79.0,57.0,33.0,21.0,7.0,10.0,8.0,13.0,139.0,77.0,60.0,28.0,21.0,1.0,5.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,103602,103909,False,True
2001-580,Australian Open,Hard,128,G,20010115,20,102231,,,Alex Calatrava,R,190.0,ESP,27.5893223819,50.0,761.0,102911,,Q,Andrei Stoliarov,R,178.0,RUS,24.0164271047,97.0,430.0,6-3 6-2 3-6 6-4,5,R128,129.0,17.0,1.0,112.0,67.0,51.0,23.0,18.0,6.0,9.0,7.0,6.0,100.0,46.0,31.0,29.0,18.0,5.0,11.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102231,102911,True,False
2001-580,Australian Open,Hard,128,G,20010115,21,101150,,,Gianluca Pozzi,L,180.0,ITA,35.5811088296,43.0,864.0,101711,,Q,Alex Obrien,R,185.0,USA,30.8610540726,249.0,138.0,1-6 7-6(7) 6-4 6-2,5,R128,176.0,15.0,3.0,125.0,53.0,43.0,40.0,19.0,6.0,9.0,3.0,1.0,136.0,103.0,67.0,16.0,18.0,10.0,14.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,101150,101711,True,False
2001-580,Australian Open,Hard,128,G,20010115,22,102563,,,Thomas Johansson,R,180.0,SWE,25.8151950719,34.0,980.0,102494,,Q,Tomas Behrend,R,193.0,GER,26.0944558522,152.0,254.0,6-1 6-2 6-0,5,R128,67.0,7.0,2.0,51.0,26.0,23.0,17.0,10.0,0.0,0.0,4.0,10.0,65.0,32.0,17.0,10.0,11.0,1.0,9.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,102494,102563,False,True
2001-580,Australian Open,Hard,128,G,20010115,23,101733,,,Jan Siemerink,L,183.0,NED,30.7570157426,106.0,391.0,102854,,,Sjeng Schalken,R,193.0,NED,24.3531827515,27.0,1103.0,2-6 6-3 6-4 3-6 6-3,5,R128,198.0,13.0,14.0,150.0,77.0,60.0,33.0,23.0,8.0,13.0,5.0,8.0,151.0,94.0,60.0,33.0,22.0,5.0,10.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,101733,102854,True,False
