tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2
2008-338,Sydney,Hard,32,A,20080107,1,104755,1.0,,Richard Gasquet,R,185.0,FRA,21.5550992471,8.0,1930.0,104214,,,Igor Andreev,R,185.0,RUS,24.4845995893,34.0,890.0,6-3 7-6(6),3,R32,94.0,7.0,5.0,70.0,40.0,35.0,15.0,11.0,3.0,4.0,2.0,4.0,66.0,41.0,29.0,11.0,10.0,1.0,3.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104214,104755
2008-338,Sydney,Hard,32,A,20080107,2,104098,,,Dmitry Tursunov,R,185.0,RUS,25.0704996578,35.0,853.0,104527,,,Stanislas Wawrinka,R,183.0,SUI,22.7789185489,28.0,995.0,6-3 6-3,3,R32,67.0,3.0,2.0,51.0,27.0,22.0,13.0,9.0,3.0,4.0,2.0,1.0,54.0,37.0,23.0,7.0,9.0,2.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104527,104098
2008-338,Sydney,Hard,32,A,20080107,3,103206,,,Sebastien Grosjean,R,175.0,FRA,29.6098562628,51.0,621.0,103429,,WC,Peter Luczak,R,183.0,AUS,28.3531827515,90.0,464.0,6-4 4-6 6-0,3,R32,126.0,9.0,2.0,78.0,40.0,32.0,20.0,13.0,4.0,6.0,5.0,1.0,98.0,63.0,34.0,20.0,13.0,6.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103206,103429
2008-338,Sydney,Hard,32,A,20080107,4,104269,8.0,,Fernando Verdasco,L,188.0,ESP,24.1451060917,27.0,1050.0,103852,,,Feliciano Lopez,L,188.0,ESP,26.2970568104,36.0,840.0,6-3 4-6 6-2,3,R32,124.0,3.0,4.0,83.0,64.0,44.0,8.0,14.0,5.0,8.0,11.0,5.0,99.0,54.0,35.0,19.0,13.0,8.0,13.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,103852,104269
2008-338,Sydney,Hard,32,A,20080107,5,102148,,,Fabrice Santoro,R,178.0,FRA,35.0773442847,37.0,792.0,103484,3.0,,James Blake,R,185.0,USA,28.0273785079,13.0,1710.0,7-6(4) 6-2,3,R32,80.0,5.0,2.0,68.0,27.0,18.0,23.0,10.0,5.0,8.0,3.0,1.0,57.0,31.0,21.0,10.0,10.0,2.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103484,102148
2008-338,Sydney,Hard,32,A,20080107,6,104327,,Q,Steve Darcis,R,178.0,BEL,23.819301848,88.0,474.0,102512,,,Joseph Sirianni,R,175.0,AUS,32.9719370294,146.0,293.0,6-1 7-6(4),3,R32,69.0,6.0,2.0,57.0,38.0,32.0,11.0,10.0,0.0,1.0,1.0,2.0,56.0,26.0,21.0,14.0,9.0,4.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,102512,104327
2008-338,Sydney,Hard,32,A,20080107,7,104371,,Q,Ivo Minar,R,183.0,CZE,23.6303901437,102.0,425.0,103553,,Q,Alun Jones,R,180.0,AUS,27.6988364134,140.0,308.0,6-2 7-5,3,R32,73.0,5.0,2.0,71.0,50.0,34.0,10.0,10.0,6.0,8.0,2.0,0.0,54.0,34.0,18.0,9.0,10.0,0.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104371,103553
2008-338,Sydney,Hard,32,A,20080107,8,105095,,LL,Evgeny Korolev,R,185.0,KAZ,19.8959616701,82.0,492.0,103908,7.0,,Paul Henri Mathieu,R,185.0,FRA,25.9849418207,25.0,1320.0,6-1 RET,3,R32,34.0,3.0,2.0,27.0,21.0,16.0,0.0,4.0,2.0,3.0,2.0,1.0,20.0,10.0,6.0,1.0,3.0,3.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103908,105095
2008-338,Sydney,Hard,32,A,20080107,9,103720,6.0,,Lleyton Hewitt,R,180.0,AUS,26.8665297741,21.0,1385.0,103917,,,Nicolas Mahut,R,190.0,FRA,25.9603011636,44.0,683.0,6-3 6-4,3,R32,88.0,5.0,4.0,48.0,26.0,20.0,12.0,9.0,1.0,3.0,4.0,13.0,82.0,41.0,28.0,14.0,10.0,8.0,13.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103917,103720
2008-338,Sydney,Hard,32,A,20080107,10,104589,,WC,Chris Guccione,L,201.0,AUS,22.4394250513,125.0,357.0,103252,,Q,Alberto Martin,R,175.0,ESP,29.3826146475,138.0,313.0,7-6(6) 6-4,3,R32,77.0,18.0,3.0,62.0,43.0,39.0,12.0,11.0,1.0,1.0,2.0,3.0,64.0,35.0,27.0,19.0,11.0,0.0,1.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104589,103252
2008-338,Sydney,Hard,32,A,20080107,11,104468,,,Gilles Simon,R,183.0,FRA,23.0280629706,30.0,955.0,103888,,,Mardy Fish,R,188.0,USA,26.0780287474,39.0,740.0,7-6(6) 6-1,3,R32,72.0,4.0,2.0,59.0,32.0,23.0,17.0,10.0,0.0,2.0,5.0,1.0,60.0,30.0,22.0,10.0,9.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103888,104468
2008-338,Sydney,Hard,32,A,20080107,12,104607,4.0,,Tomas Berdych,R,196.0,CZE,22.3052703628,14.0,1685.0,103835,,,Filippo Volandri,R,183.0,ITA,26.3381245722,41.0,731.0,6-1 6-3,3,R32,72.0,7.0,1.0,55.0,33.0,26.0,12.0,8.0,3.0,3.0,1.0,6.0,66.0,31.0,18.0,15.0,8.0,9.0,13.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104607,103835
2008-338,Sydney,Hard,32,A,20080107,13,102845,5.0,,Carlos Moya,R,190.0,ESP,31.3620807666,18.0,1585.0,102905,,,Stefan Koubek,L,175.0,AUT,31.0116358658,68.0,556.0,1-6 6-4 6-2,3,R32,90.0,2.0,3.0,74.0,42.0,30.0,19.0,12.0,7.0,9.0,3.0,3.0,72.0,44.0,32.0,13.0,13.0,0.0,3.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,102845,102905
2008-338,Sydney,Hard,32,A,20080107,14,102860,,,Agustin Calleri,R,183.0,ARG,31.3127994524,40.0,735.0,105286,,WC,Greg Jones,R,190.0,AUS,18.932238193,383.0,87.0,6-3 6-2,3,R32,76.0,6.0,2.0,42.0,22.0,21.0,11.0,8.0,0.0,0.0,3.0,3.0,67.0,44.0,25.0,10.0,9.0,8.0,12.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105286,102860
2008-338,Sydney,Hard,32,A,20080107,15,104312,,,Andreas Seppi,R,190.0,ITA,23.8767967146,47.0,659.0,104542,,,Jo Wilfried Tsonga,R,188.0,FRA,22.7241615332,38.0,789.0,3-6 6-3 6-2,3,R32,111.0,2.0,0.0,87.0,49.0,34.0,21.0,13.0,8.0,10.0,7.0,1.0,87.0,53.0,32.0,19.0,13.0,7.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104542,104312
2008-338,Sydney,Hard,32,A,20080107,16,103285,,,Radek Stepanek,R,185.0,CZE,29.1115674196,32.0,930.0,103990,2.0,,Tommy Robredo,R,180.0,ESP,25.6865160849,11.0,1765.0,6-4 6-2,3,R32,91.0,2.0,3.0,69.0,39.0,26.0,16.0,9.0,4.0,5.0,1.0,3.0,57.0,39.0,22.0,8.0,9.0,3.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103285,103990
2008-338,Sydney,Hard,32,A,20080107,17,104098,,,Dmitry Tursunov,R,185.0,RUS,25.0704996578,35.0,853.0,104755,1.0,,Richard Gasquet,R,185.0,FRA,21.5550992471,8.0,1930.0,3-6 6-3 6-4,3,R16,123.0,8.0,2.0,91.0,49.0,39.0,23.0,14.0,3.0,4.0,7.0,4.0,96.0,62.0,43.0,17.0,14.0,5.0,7.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,104755,104098
