tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2
2003-316,Bastad,Clay,32,A,20030707,17,102845,1.0,,Carlos Moya,R,190.0,ESP,26.8583162218,4.0,3160.0,104417,,WC,Robin Soderling,R,193.0,SWE,18.893908282,123.0,320.0,6-3 6-4,3,R16,74.0,7.0,0.0,64.0,35.0,26.0,12.0,9.0,3.0,5.0,0.0,4.0,58.0,31.0,20.0,8.0,10.0,0.0,5.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,104417,102845
2003-316,Bastad,Clay,32,A,20030707,18,102035,,,Jonas Bjorkman,R,183.0,SWE,31.2881587953,47.0,790.0,103970,,,David Ferrer,R,175.0,ESP,21.2621492129,63.0,627.0,6-2 6-1,3,R16,53.0,1.0,1.0,43.0,26.0,21.0,12.0,8.0,0.0,0.0,0.0,6.0,46.0,23.0,12.0,10.0,7.0,6.0,10.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,103970,102035
2003-316,Bastad,Clay,32,A,20030707,19,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,21.0321697467,30.0,1060.0,102644,,,Franco Squillari,L,183.0,ARG,27.8740588638,84.0,488.0,6-1 5-7 6-2,3,R16,98.0,3.0,6.0,84.0,54.0,39.0,15.0,14.0,5.0,7.0,6.0,7.0,77.0,45.0,27.0,15.0,13.0,4.0,9.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,102644,104022
2003-316,Bastad,Clay,32,A,20030707,20,103151,5.0,,Mariano Zabaleta,R,183.0,ARG,25.3524982888,41.0,878.0,103104,,WC,Bjorn Rehnquist,R,175.0,SWE,25.5003422313,158.0,232.0,6-1 6-2,3,R16,58.0,0.0,1.0,53.0,32.0,23.0,13.0,8.0,4.0,4.0,0.0,5.0,41.0,30.0,16.0,3.0,7.0,0.0,4.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,103104,103151
2003-316,Bastad,Clay,32,A,20030707,21,102839,6.0,,Nicolas Lapentti,R,188.0,ECU,26.8966461328,76.0,530.0,102437,,,Adrian Voinea,R,185.0,ROU,28.9171800137,137.0,286.0,6-4 7-6(5),3,R16,117.0,1.0,1.0,77.0,48.0,30.0,19.0,11.0,1.0,3.0,1.0,7.0,81.0,42.0,30.0,18.0,11.0,5.0,8.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,102437,102839
2003-316,Bastad,Clay,32,A,20030707,22,104745,,,Rafael Nadal,L,185.0,ESP,17.0924024641,61.0,639.0,102287,,,Albert Portas,R,188.0,ESP,29.6399726215,83.0,489.0,6-0 6-4,3,R16,71.0,0.0,1.0,44.0,32.0,26.0,8.0,8.0,2.0,2.0,1.0,2.0,50.0,26.0,13.0,12.0,8.0,3.0,7.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,102287,104745
2003-316,Bastad,Clay,32,A,20030707,23,103835,,,Filippo Volandri,R,183.0,ITA,21.8343600274,68.0,614.0,103133,,,Olivier Mutis,R,175.0,FRA,25.4236824093,75.0,532.0,6-3 6-0,3,R16,48.0,0.0,1.0,46.0,31.0,24.0,9.0,8.0,2.0,3.0,1.0,1.0,44.0,18.0,9.0,10.0,7.0,1.0,6.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,103835,103133
2003-316,Bastad,Clay,32,A,20030707,24,103990,2.0,,Tommy Robredo,R,180.0,ESP,21.18275154,20.0,1300.0,102271,,,Hicham Arazi,L,175.0,MAR,29.7138945927,88.0,473.0,4-6 6-2 6-4,3,R16,133.0,4.0,2.0,104.0,76.0,46.0,10.0,14.0,10.0,16.0,1.0,1.0,100.0,59.0,29.0,19.0,14.0,12.0,20.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,102271,103990
2003-316,Bastad,Clay,32,A,20030707,25,102845,1.0,,Carlos Moya,R,190.0,ESP,26.8583162218,4.0,3160.0,102035,,,Jonas Bjorkman,R,183.0,SWE,31.2881587953,47.0,790.0,6-4 6-3,3,QF,70.0,3.0,2.0,50.0,23.0,19.0,15.0,9.0,1.0,2.0,6.0,5.0,60.0,28.0,19.0,15.0,10.0,5.0,9.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,102845,102035
2003-316,Bastad,Clay,32,A,20030707,26,103151,5.0,,Mariano Zabaleta,R,183.0,ARG,25.3524982888,41.0,878.0,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,21.0321697467,30.0,1060.0,4-6 7-5 6-1,3,QF,113.0,7.0,0.0,86.0,55.0,40.0,17.0,15.0,4.0,7.0,1.0,6.0,88.0,52.0,35.0,14.0,14.0,5.0,10.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,103151,104022
2003-316,Bastad,Clay,32,A,20030707,27,102839,6.0,,Nicolas Lapentti,R,188.0,ECU,26.8966461328,76.0,530.0,104745,,,Rafael Nadal,L,185.0,ESP,17.0924024641,61.0,639.0,3-6 6-3 7-6(6),3,QF,176.0,7.0,2.0,105.0,65.0,52.0,20.0,15.0,7.0,8.0,1.0,2.0,100.0,80.0,56.0,10.0,15.0,9.0,10.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,102839,104745
2003-316,Bastad,Clay,32,A,20030707,28,103990,2.0,,Tommy Robredo,R,180.0,ESP,21.18275154,20.0,1300.0,103835,,,Filippo Volandri,R,183.0,ITA,21.8343600274,68.0,614.0,6-4 6-4,3,QF,111.0,1.0,2.0,54.0,40.0,22.0,11.0,10.0,0.0,2.0,0.0,4.0,78.0,49.0,30.0,11.0,10.0,2.0,6.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,103990,103835
2003-316,Bastad,Clay,32,A,20030707,29,103151,5.0,,Mariano Zabaleta,R,183.0,ARG,25.3524982888,41.0,878.0,102845,1.0,,Carlos Moya,R,190.0,ESP,26.8583162218,4.0,3160.0,2-6 6-3 6-4,3,SF,124.0,2.0,1.0,109.0,70.0,46.0,18.0,14.0,14.0,16.0,4.0,2.0,86.0,58.0,40.0,15.0,13.0,5.0,7.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,102845,103151
2003-316,Bastad,Clay,32,A,20030707,30,102839,6.0,,Nicolas Lapentti,R,188.0,ECU,26.8966461328,76.0,530.0,103990,2.0,,Tommy Robredo,R,180.0,ESP,21.18275154,20.0,1300.0,6-4 6-2,3,SF,78.0,3.0,0.0,69.0,50.0,32.0,8.0,9.0,5.0,7.0,1.0,2.0,52.0,33.0,18.0,5.0,9.0,2.0,7.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,102839,103990
2003-316,Bastad,Clay,32,A,20030707,31,103151,5.0,,Mariano Zabaleta,R,183.0,ARG,25.3524982888,41.0,878.0,102839,6.0,,Nicolas Lapentti,R,188.0,ECU,26.8966461328,76.0,530.0,6-3 6-4,3,F,93.0,1.0,1.0,56.0,32.0,25.0,14.0,10.0,1.0,2.0,4.0,1.0,59.0,40.0,25.0,9.0,9.0,4.0,7.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,103151,102839
2003-317,Amersfoort,Clay,32,A,20030714,1,102851,,,Giorgio Galimberti,R,180.0,ITA,26.8528405202,136.0,279.0,103280,1.0,,Martin Verkerk,R,196.0,NED,24.7008898015,16.0,1392.0,3-6 6-1 6-4,3,R32,104.0,3.0,3.0,90.0,53.0,40.0,19.0,13.0,5.0,6.0,13.0,5.0,75.0,30.0,24.0,24.0,13.0,5.0,8.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102851,103280
2003-317,Amersfoort,Clay,32,A,20030714,2,103656,,,Albert Montanes,R,175.0,ESP,22.6283367556,107.0,352.0,103781,,,Jurgen Melzer,L,183.0,AUT,22.1437371663,77.0,527.0,5-1 RET,3,R32,29.0,3.0,1.0,19.0,10.0,10.0,5.0,3.0,2.0,2.0,0.0,1.0,22.0,11.0,7.0,3.0,3.0,1.0,3.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,103656,103781
2003-317,Amersfoort,Clay,32,A,20030714,3,103182,,,Markus Hipfl,R,178.0,AUT,25.2156057495,294.0,101.0,102437,,,Adrian Voinea,R,185.0,ROU,28.9363449692,128.0,296.0,2-6 6-4 6-3,3,R32,93.0,1.0,2.0,75.0,54.0,38.0,12.0,14.0,1.0,5.0,9.0,6.0,74.0,36.0,28.0,17.0,13.0,3.0,7.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102437,103182
2003-317,Amersfoort,Clay,32,A,20030714,4,102770,,,John Van Lottum,R,185.0,NED,27.2580424367,86.0,477.0,102950,5.0,,Fernando Vicente,R,180.0,ESP,26.3490759754,55.0,671.0,7-6(3) 6-0,3,R32,82.0,3.0,0.0,56.0,30.0,22.0,16.0,9.0,2.0,3.0,2.0,3.0,77.0,37.0,20.0,20.0,9.0,10.0,14.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,102770,102950
2003-317,Amersfoort,Clay,32,A,20030714,5,103428,3.0,,Juan Ignacio Chela,R,190.0,ARG,23.871321013,31.0,1055.0,103264,,,Mariano Puerta,L,180.0,ARG,24.8158795346,97.0,402.0,6-3 6-1,3,R32,55.0,5.0,2.0,44.0,28.0,23.0,10.0,8.0,3.0,3.0,0.0,5.0,43.0,24.0,10.0,9.0,8.0,1.0,5.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,103428,103264
2003-317,Amersfoort,Clay,32,A,20030714,6,103105,,,Ruben Ramirez Hidalgo,R,183.0,ESP,25.5167693361,93.0,439.0,101532,,WC,Francisco Clavet,L,183.0,ESP,34.7186858316,214.0,161.0,6-4 6-2,3,R32,85.0,2.0,1.0,44.0,29.0,23.0,7.0,9.0,1.0,4.0,2.0,3.0,79.0,57.0,27.0,8.0,9.0,11.0,17.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,101532,103105
