tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2010-301,Auckland,Hard,28,A,20100111,1,103752,,,Simon Greul,R,185.0,GER,28.7474332649,60.0,737.0,103893,,Q,Paolo Lorenzi,R,183.0,ITA,28.0739219713,86.0,577.0,6-3 6-3,3,R32,87.0,2.0,4.0,57.0,31.0,25.0,14.0,9.0,8.0,9.0,0.0,6.0,64.0,42.0,22.0,11.0,9.0,8.0,12.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103893,103752,False,True
2010-301,Auckland,Hard,28,A,20100111,2,104545,,,John Isner,R,206.0,USA,24.7118412047,33.0,1067.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,26.6064339493,43.0,954.0,4-6 7-6(3) 6-2,3,R32,120.0,11.0,2.0,85.0,56.0,45.0,17.0,15.0,3.0,5.0,5.0,5.0,89.0,56.0,37.0,22.0,15.0,4.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104545,104198,True,False
2010-301,Auckland,Hard,28,A,20100111,3,104338,7.0,,Juan Monaco,R,185.0,ARG,25.787816564,30.0,1170.0,104547,,,Horacio Zeballos,L,188.0,ARG,24.7091033539,48.0,904.0,6-3 6-0,3,R32,63.0,6.0,3.0,44.0,28.0,25.0,8.0,8.0,2.0,2.0,4.0,2.0,53.0,29.0,18.0,8.0,7.0,5.0,9.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,104338,104547,True,False
2010-301,Auckland,Hard,28,A,20100111,4,103967,,Q,Michael Lammer,R,185.0,SUI,27.8001368925,209.0,223.0,105554,,Q,Daniel Evans,R,175.0,GBR,19.6386036961,266.0,167.0,1-6 6-2 6-4,3,R32,121.0,1.0,4.0,98.0,56.0,34.0,20.0,13.0,7.0,11.0,5.0,3.0,67.0,35.0,21.0,18.0,12.0,1.0,5.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103967,105554,True,False
2010-301,Auckland,Hard,28,A,20100111,5,104907,,WC,Jose Rubin Statham,R,183.0,NZL,22.7159479808,332.0,126.0,104368,,WC,Daniel King Turner,R,190.0,NZL,25.659137577,263.0,170.0,6-2 7-5,3,R32,96.0,1.0,4.0,73.0,48.0,33.0,10.0,10.0,7.0,9.0,10.0,3.0,75.0,47.0,29.0,10.0,10.0,12.0,17.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104907,104368,True,False
2010-301,Auckland,Hard,28,A,20100111,6,103656,8.0,,Albert Montanes,R,175.0,ESP,29.1252566735,31.0,1140.0,105084,,Q,James Lemke,R,,AUS,21.9630390144,456.0,73.0,6-1 7-5,3,R32,72.0,5.0,1.0,58.0,36.0,27.0,9.0,9.0,2.0,4.0,0.0,5.0,60.0,38.0,19.0,7.0,10.0,0.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105084,103656,False,True
2010-301,Auckland,Hard,28,A,20100111,7,104259,5.0,,Philipp Kohlschreiber,R,178.0,GER,26.2395619439,27.0,1260.0,105438,,LL,Inigo Cervantes Huegun,R,,ESP,20.1149897331,235.0,189.0,6-2 6-3,3,R32,63.0,1.0,0.0,49.0,33.0,21.0,15.0,9.0,2.0,3.0,1.0,5.0,50.0,24.0,18.0,8.0,8.0,3.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104259,105438,True,False
2010-301,Auckland,Hard,28,A,20100111,8,105064,,,Thomaz Bellucci,L,188.0,BRA,22.0342231348,34.0,1066.0,103843,,,Marco Chiudinelli,R,185.0,SUI,28.3367556468,56.0,775.0,6-3 6-3,3,R32,64.0,8.0,3.0,54.0,37.0,29.0,9.0,9.0,1.0,1.0,3.0,0.0,53.0,34.0,20.0,11.0,9.0,1.0,4.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105064,103843,True,False
2010-301,Auckland,Hard,28,A,20100111,9,102967,,,Marc Gicquel,R,188.0,FRA,32.7857631759,58.0,750.0,103694,,,Olivier Rochus,R,168.0,BEL,28.9801505818,57.0,769.0,6-3 6-2,3,R32,64.0,5.0,2.0,59.0,32.0,23.0,16.0,9.0,0.0,1.0,1.0,3.0,47.0,23.0,13.0,12.0,8.0,6.0,10.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,102967,103694,True,False
2010-301,Auckland,Hard,28,A,20100111,10,103781,6.0,,Jurgen Melzer,L,183.0,AUT,28.6406570842,28.0,1260.0,104926,,,Fabio Fognini,R,178.0,ITA,22.636550308,54.0,790.0,5-7 6-3 6-2,3,R32,105.0,8.0,6.0,82.0,50.0,38.0,21.0,15.0,0.0,1.0,3.0,7.0,93.0,45.0,34.0,23.0,14.0,6.0,9.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104926,103781,False,True
2010-301,Auckland,Hard,28,A,20100111,11,103206,,WC,Sebastien Grosjean,R,175.0,FRA,31.6221765914,675.0,26.0,104252,,,Florian Mayer,R,190.0,GER,26.2696783025,59.0,746.0,6-3 3-6 6-3,3,R32,122.0,5.0,3.0,110.0,48.0,33.0,34.0,14.0,11.0,13.0,1.0,3.0,81.0,50.0,34.0,15.0,13.0,6.0,9.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103206,104252,True,False
2010-301,Auckland,Hard,28,A,20100111,12,103096,,,Arnaud Clement,R,173.0,FRA,32.0684462697,67.0,647.0,104871,,,Jeremy Chardy,R,188.0,FRA,22.9130732375,32.0,1102.0,7-5 6-4,3,R32,111.0,5.0,3.0,81.0,50.0,31.0,16.0,11.0,5.0,8.0,4.0,6.0,79.0,35.0,21.0,19.0,11.0,7.0,12.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104871,103096,False,True
