tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2007-500,Halle,Grass,32,A,20070611,1,102318,,LL,Andrei Pavel,R,183.0,ROU,33.3689253936,124.0,345.0,103694,,,Olivier Rochus,R,168.0,BEL,26.392881588,51.0,660.0,6-3 7-6(5),3,R32,90.0,14.0,4.0,73.0,42.0,34.0,15.0,10.0,1.0,1.0,3.0,2.0,61.0,38.0,28.0,13.0,11.0,1.0,3.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,102318,103694,True,False
2007-500,Halle,Grass,32,A,20070611,2,103813,,,Jarkko Nieminen,L,185.0,FIN,25.8836413415,22.0,1240.0,104019,,,Kristof Vliegen,R,193.0,BEL,24.9691991786,56.0,614.0,6-3 6-1,3,R32,52.0,1.0,0.0,45.0,33.0,29.0,5.0,8.0,0.0,0.0,2.0,2.0,44.0,30.0,17.0,5.0,8.0,1.0,5.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,104019,103813,False,True
2007-500,Halle,Grass,32,A,20070611,3,103794,,,Benjamin Becker,R,178.0,GER,25.9849418207,44.0,734.0,104559,,,Teymuraz Gabashvili,R,188.0,RUS,22.0506502396,82.0,511.0,6-4 7-6(1),3,R32,99.0,8.0,1.0,61.0,31.0,27.0,18.0,11.0,0.0,1.0,5.0,6.0,95.0,44.0,35.0,19.0,11.0,12.0,14.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,103794,104559,True,False
2007-500,Halle,Grass,32,A,20070611,4,102967,,,Marc Gicquel,R,188.0,FRA,30.1984941821,42.0,746.0,103900,7.0,,David Nalbandian,R,180.0,ARG,25.440109514,25.0,1115.0,5-7 6-2 6-4,3,R32,111.0,5.0,2.0,90.0,49.0,39.0,21.0,15.0,2.0,4.0,8.0,7.0,86.0,47.0,38.0,17.0,15.0,2.0,6.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,102967,103900,True,False
2007-500,Halle,Grass,32,A,20070611,6,102148,,,Fabrice Santoro,R,178.0,FRA,34.5023956194,53.0,621.0,103325,,Q,Wesley Moodie,R,196.0,RSA,28.3203285421,139.0,308.0,6-3 7-6(9),3,R32,86.0,3.0,0.0,69.0,41.0,37.0,17.0,11.0,3.0,3.0,8.0,3.0,71.0,45.0,35.0,14.0,10.0,4.0,5.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,102148,103325,True,False
2007-500,Halle,Grass,32,A,20070611,7,104217,,Q,Simon Stadler,L,183.0,GER,23.8932238193,227.0,167.0,104999,,WC,Mischa Zverev,L,190.0,GER,19.8028747433,128.0,334.0,6-4 7-6(5),3,R32,82.0,2.0,2.0,77.0,47.0,33.0,16.0,11.0,3.0,4.0,3.0,1.0,63.0,49.0,35.0,7.0,11.0,2.0,4.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,104999,104217,False,True
2007-500,Halle,Grass,32,A,20070611,8,104022,6.0,,Mikhail Youzhny,R,183.0,RUS,24.9609856263,14.0,1800.0,103188,,,Michael Russell,R,173.0,USA,29.1115674196,70.0,554.0,6-2 6-2,3,R32,60.0,4.0,2.0,39.0,20.0,19.0,13.0,8.0,0.0,0.0,0.0,1.0,42.0,27.0,19.0,3.0,8.0,3.0,7.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,104022,103188,True,False
2007-500,Halle,Grass,32,A,20070611,9,103529,,Q,Aisam Ul Haq Qureshi,R,183.0,PAK,27.2334017796,304.0,114.0,104755,5.0,,Richard Gasquet,R,185.0,FRA,20.9801505818,11.0,1900.0,7-6(8) 6-4,3,R32,98.0,12.0,6.0,78.0,47.0,38.0,15.0,11.0,6.0,7.0,6.0,2.0,64.0,34.0,25.0,20.0,11.0,1.0,3.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,104755,103529,False,True
2007-500,Halle,Grass,32,A,20070611,10,104259,,,Philipp Kohlschreiber,R,178.0,GER,23.65229295,34.0,890.0,103171,,Q,Raemon Sluiter,R,185.0,NED,29.1608487337,167.0,263.0,7-6(5) 7-5,3,R32,95.0,9.0,2.0,77.0,42.0,35.0,21.0,12.0,2.0,2.0,12.0,5.0,71.0,42.0,34.0,16.0,12.0,0.0,1.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,103171,104259,False,True
2007-500,Halle,Grass,32,A,20070611,11,105095,,,Evgeny Korolev,R,185.0,KAZ,19.3210130048,84.0,500.0,104527,,,Stanislas Wawrinka,R,183.0,SUI,22.2039698836,41.0,770.0,3-6 6-3 6-4,3,R32,115.0,6.0,2.0,89.0,50.0,33.0,21.0,14.0,3.0,6.0,8.0,4.0,84.0,52.0,37.0,13.0,14.0,3.0,7.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,104527,105095,False,True
