tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,hand_r,hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F
2009-329,Tokyo,Hard,32,A,20091005,1,104273,,Q,Edouard Roger Vasselin,R,188.0,FRA,25.8535249829,189.0,283.0,105223,1.0,,Juan Martin Del Potro,R,198.0,ARG,21.0321697467,5.0,6555.0,6-4 6-4,3,R32,89.0,9.0,2.0,74.0,43.0,34.0,18.0,10.0,6.0,6.0,6.0,1.0,58.0,29.0,24.0,14.0,10.0,2.0,4.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,2,103781,,,Jurgen Melzer,L,183.0,AUT,28.372347707,39.0,1060.0,104919,,,Leonardo Mayer,R,188.0,ARG,22.392881588,63.0,808.0,7-6(4) 6-3,3,R32,112.0,5.0,2.0,72.0,47.0,39.0,13.0,11.0,3.0,3.0,10.0,1.0,88.0,55.0,40.0,15.0,10.0,6.0,7.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,3,102148,,,Fabrice Santoro,R,178.0,FRA,36.8213552361,42.0,1038.0,104979,,,Andrey Golubev,R,185.0,KAZ,22.2067077344,69.0,759.0,6-7(5) 7-6(2) 6-2,3,R32,157.0,2.0,3.0,111.0,83.0,64.0,10.0,16.0,6.0,8.0,8.0,4.0,131.0,84.0,52.0,24.0,16.0,13.0,17.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,4,103720,8.0,,Lleyton Hewitt,R,180.0,AUS,28.6105407255,26.0,1375.0,105147,,WC,Tatsuma Ito,R,180.0,JPN,21.3826146475,237.0,213.0,6-1 7-5,3,R32,82.0,4.0,1.0,62.0,38.0,25.0,16.0,10.0,1.0,2.0,5.0,2.0,54.0,31.0,21.0,7.0,9.0,3.0,7.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,5,104468,3.0,,Gilles Simon,R,183.0,FRA,24.772073922,10.0,3250.0,102863,,WC,Takao Suzuki,R,175.0,JPN,33.0403832991,355.0,116.0,6-3 6-4,3,R32,64.0,9.0,1.0,60.0,34.0,27.0,17.0,10.0,2.0,2.0,4.0,2.0,46.0,28.0,16.0,13.0,9.0,0.0,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,6,104022,,,Mikhail Youzhny,R,183.0,RUS,27.279945243,49.0,910.0,105064,,,Thomaz Bellucci,L,188.0,BRA,21.7659137577,56.0,833.0,6-2 6-3,3,R32,93.0,1.0,1.0,58.0,31.0,25.0,14.0,9.0,4.0,5.0,3.0,3.0,62.0,37.0,17.0,14.0,8.0,4.0,8.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,7,104676,,,Andreas Beck,L,190.0,GER,23.6632443532,40.0,1054.0,102783,,,Rainer Schuettler,R,180.0,GER,33.4455852156,99.0,565.0,6-3 4-6 7-6(3),3,R32,164.0,12.0,5.0,111.0,63.0,49.0,20.0,16.0,9.0,12.0,8.0,5.0,120.0,72.0,44.0,27.0,15.0,11.0,14.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,8,104607,5.0,,Tomas Berdych,R,196.0,CZE,24.0492813142,21.0,1660.0,104424,,WC,Go Soeda,R,178.0,JPN,25.0814510609,176.0,306.0,6-2 6-4,3,R32,69.0,6.0,0.0,44.0,25.0,21.0,15.0,9.0,0.0,0.0,3.0,8.0,63.0,35.0,24.0,11.0,9.0,4.0,7.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,9,104527,7.0,,Stanislas Wawrinka,R,183.0,SUI,24.5229295003,23.0,1560.0,104545,,,John Isner,R,206.0,USA,24.4435318275,43.0,1013.0,6-4 6-4,3,R32,93.0,8.0,2.0,55.0,30.0,29.0,14.0,10.0,1.0,1.0,9.0,2.0,75.0,51.0,33.0,12.0,10.0,5.0,7.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2009-329,Tokyo,Hard,32,A,20091005,10,103752,,,Simon Greul,R,185.0,GER,28.4791238877,71.0,740.0,103506,,,Martin Vassallo Arguello,R,183.0,ARG,29.6509240246,47.0,955.0,4-6 6-4 6-2,3,R32,116.0,7.0,1.0,68.0,39.0,33.0,21.0,14.0,0.0,1.0,8.0,1.0,99.0,79.0,49.0,11.0,14.0,9.0,12.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
