tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_hand_r,winner_hand_l,loser_hand_r,loser_hand_l,surface_clay,surface_hard,surface_carpet,surface_grass,round_RR,round_R128,round_R64,round_R32,round_R16,round_QF,round_SF,round_F,player_1,player_2,player_1_win,player_2_win
2014-301,Auckland,Hard,28,A,20140106,1,105385,,Q,Donald Young,L,183.0,USA,24.4572210815,96.0,563.0,105643,,,Federico Delbonis,L,190.0,ARG,23.2553045859,54.0,826.0,7-5 6-2,3,R32,86.0,2.0,4.0,59.0,41.0,33.0,9.0,10.0,2.0,3.0,2.0,2.0,82.0,59.0,33.0,12.0,10.0,9.0,13.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,105385,105643,True,False
2014-301,Auckland,Hard,28,A,20140106,2,105053,,,Santiago Giraldo,R,188.0,COL,26.1108829569,68.0,703.0,103656,,,Albert Montanes,R,175.0,ESP,33.1115674196,59.0,766.0,6-1 7-6(3),3,R32,75.0,10.0,2.0,63.0,38.0,30.0,11.0,9.0,2.0,3.0,1.0,4.0,68.0,38.0,27.0,10.0,10.0,6.0,10.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,103656,105053,False,True
2014-301,Auckland,Hard,28,A,20140106,3,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,30.5927446954,58.0,776.0,104898,8.0,,Robin Haase,R,190.0,NED,26.7542778919,44.0,977.0,4-6 7-5 7-6(4),3,R32,131.0,4.0,6.0,107.0,55.0,41.0,27.0,17.0,4.0,7.0,7.0,4.0,100.0,72.0,54.0,10.0,17.0,0.0,3.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104898,104198,False,True
2014-301,Auckland,Hard,28,A,20140106,4,105449,,LL,Steve Johnson,R,188.0,USA,24.0355920602,160.0,327.0,104571,,WC,Marcos Baghdatis,R,183.0,CYP,28.5557837098,109.0,515.0,7-5 6-7(3) 6-4,3,R32,122.0,13.0,2.0,103.0,59.0,44.0,28.0,17.0,1.0,2.0,8.0,7.0,105.0,63.0,47.0,22.0,17.0,4.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105449,104571,True,False
2014-301,Auckland,Hard,28,A,20140106,5,104229,,,Yen Hsun Lu,R,180.0,TPE,30.3983572895,62.0,730.0,104997,,,Igor Sijsling,R,190.0,NED,26.3874058864,69.0,697.0,7-5 7-6(7),3,R32,85.0,3.0,2.0,76.0,49.0,34.0,16.0,12.0,1.0,3.0,11.0,2.0,76.0,36.0,30.0,18.0,12.0,4.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104229,104997,True,False
2014-301,Auckland,Hard,28,A,20140106,6,105614,,Q,Bradley Klahn,L,190.0,USA,23.3812457221,95.0,568.0,104978,9.0,,Daniel Brands,R,196.0,GER,26.4750171116,57.0,779.0,7-5 4-6 6-3,3,R32,112.0,12.0,2.0,103.0,76.0,56.0,13.0,16.0,6.0,7.0,8.0,4.0,110.0,83.0,56.0,12.0,15.0,13.0,15.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104978,105614,False,True
2014-301,Auckland,Hard,28,A,20140106,7,104259,5.0,,Philipp Kohlschreiber,R,178.0,GER,30.2258726899,22.0,1525.0,105807,,,Pablo Carreno Busta,R,,ESP,22.4887063655,61.0,739.0,6-2 3-6 7-5,3,R32,99.0,9.0,0.0,74.0,46.0,34.0,16.0,14.0,0.0,2.0,4.0,5.0,88.0,56.0,40.0,14.0,15.0,3.0,7.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104259,105807,True,False
2014-301,Auckland,Hard,28,A,20140106,8,104547,,,Horacio Zeballos,L,188.0,ARG,28.6954140999,66.0,710.0,103835,,,Filippo Volandri,R,183.0,ITA,32.3367556468,70.0,694.0,6-0 7-6(1),3,R32,81.0,5.0,6.0,71.0,41.0,30.0,12.0,9.0,3.0,5.0,2.0,2.0,64.0,41.0,23.0,7.0,9.0,4.0,9.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104547,103835,True,False
2014-301,Auckland,Hard,28,A,20140106,9,105041,,Q,Lukas Lacko,R,185.0,SVK,26.1765913758,90.0,595.0,104907,,WC,Jose Rubin Statham,R,183.0,NZL,26.7022587269,288.0,155.0,6-3 6-1,3,R32,70.0,7.0,2.0,53.0,32.0,24.0,11.0,8.0,4.0,4.0,3.0,3.0,66.0,44.0,25.0,7.0,8.0,7.0,11.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,104907,105041,False,True
2014-301,Auckland,Hard,28,A,20140106,10,105332,6.0,,Benoit Paire,R,196.0,FRA,24.6652977413,28.0,1300.0,104308,,,Michal Przysiezny,R,185.0,POL,29.8891170431,63.0,730.0,6-4 6-2,3,R32,49.0,12.0,2.0,42.0,23.0,21.0,15.0,9.0,0.0,0.0,2.0,2.0,57.0,33.0,24.0,11.0,9.0,3.0,6.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105332,104308,True,False
2014-301,Auckland,Hard,28,A,20140106,11,105138,,,Roberto Bautista Agut,R,,ESP,25.7303216975,73.0,680.0,104593,,Q,Daniel Gimeno Traver,R,185.0,ESP,28.4161533196,80.0,650.0,6-1 3-6 6-4,3,R32,96.0,1.0,1.0,76.0,54.0,41.0,12.0,13.0,2.0,4.0,1.0,2.0,87.0,46.0,30.0,20.0,13.0,4.0,8.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,105138,104593,True,False
2014-301,Auckland,Hard,28,A,20140106,12,106058,,WC,Jack Sock,R,185.0,USA,21.2840520192,100.0,545.0,105173,,,Adrian Mannarino,L,183.0,FRA,25.5222450376,71.0,692.0,6-3 6-4,3,R32,62.0,11.0,3.0,58.0,35.0,27.0,16.0,10.0,2.0,2.0,0.0,1.0,51.0,34.0,24.0,9.0,9.0,1.0,3.0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,105173,106058,False,True
2014-301,Auckland,Hard,28,A,20140106,13,103970,1.0,,David Ferrer,R,175.0,ESP,31.7645448323,3.0,5800.0,105385,,Q,Donald Young,L,183.0,USA,24.4572210815,96.0,563.0,6-7(5) 6-3 6-1,3,R16,115.0,3.0,4.0,103.0,65.0,45.0,18.0,14.0,10.0,13.0,1.0,2.0,89.0,60.0,35.0,12.0,14.0,6.0,13.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,103970,105385,True,False
2014-301,Auckland,Hard,28,A,20140106,14,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,30.5927446954,58.0,776.0,105053,,,Santiago Giraldo,R,188.0,COL,26.1108829569,68.0,703.0,6-7(7) 6-2 6-3,3,R16,143.0,8.0,4.0,118.0,76.0,50.0,19.0,15.0,15.0,19.0,5.0,2.0,94.0,50.0,29.0,20.0,14.0,5.0,12.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,104198,105053,True,False
2014-301,Auckland,Hard,28,A,20140106,15,105449,,LL,Steve Johnson,R,188.0,USA,24.0355920602,160.0,327.0,104731,4.0,,Kevin Anderson,R,203.0,RSA,27.6386036961,20.0,1685.0,7-5 6-4,3,R16,77.0,6.0,3.0,68.0,43.0,34.0,14.0,11.0,1.0,1.0,11.0,2.0,57.0,34.0,23.0,17.0,11.0,4.0,6.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,105449,104731,True,False
